account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag
A-117171,Company_135,HealthTech,FR,,organic,Basic,45,,
A-313be3,Company_136,EdTech,US,,partner,Enterprise,47,,
A-671f31,Company_137,DevTools,US,,ads,Basic,59,,
A-bbc346,Company_138,FinTech,US,,partner,Enterprise,19,,
A-c16101,Company_139,EdTech,IN,,other,Basic,7,,
A-50f3f7,Company_140,HealthTech,US,,partner,Basic,31,,
A-7da956,Company_141,Cybersecurity,US,,event,Pro,13,,
A-019782,Company_142,DevTools,FR,,event,Enterprise,11,,
A-df10db,Company_143,DevTools,US,,other,Enterprise,2,,
A-3932db,Company_144,HealthTech,CA,,other,Pro,19,,
A-4f18f0,Company_145,DevTools,CA,,other,Pro,24,,
A-4c6f11,Company_146,FinTech,CA,,organic,Pro,24,,
A-8ae05d,Company_147,FinTech,IN,,other,Enterprise,86,,
A-b78bf8,Company_148,DevTools,US,,event,Pro,33,,
A-eafc6e,Company_149,DevTools,US,,partner,Pro,27,,
A-37f969,Company_150,HealthTech,IN,,partner,Enterprise,30,,
A-10b8f2,Company_151,HealthTech,DE,,organic,Basic,47,,
A-439b2f,Company_152,DevTools,US,,ads,Enterprise,1,,
A-544d0a,Company_153,DevTools,US,,organic,Basic,2,,
A-ba6516,Company_154,FinTech,US,,ads,Pro,27,,
A-712426,Company_155,HealthTech,US,,other,Enterprise,9,,
A-038089,Company_156,DevTools,FR,,other,Pro,5,,
A-afa505,Company_157,DevTools,US,,partner,Basic,70,,
A-d5a319,Company_158,FinTech,US,,other,Enterprise,15,,
A-f97b9a,Company_159,FinTech,US,,event,Pro,16,,
A-2f6a32,Company_160,HealthTech,US,,organic,Basic,19,,
A-856b1e,Company_161,FinTech,US,,partner,Basic,19,,
A-17939a,Company_162,HealthTech,US,,organic,Basic,1,,
A-d27f50,Company_163,Cybersecurity,UK,,ads,Enterprise,44,,
A-e36807,Company_164,EdTech,AU,,other,Pro,6,,
A-ff79f2,Company_165,DevTools,US,,ads,Basic,8,,
A-5b1bcd,Company_166,DevTools,US,,organic,Pro,73,,
A-71615e,Company_167,EdTech,US,,organic,Basic,15,,
A-794a0b,Company_168,HealthTech,DE,,organic,Basic,23,,
A-86902e,Company_169,HealthTech,IN,,other,Enterprise,34,,
A-0532a9,Company_170,FinTech,IN,,event,Pro,19,,
A-9779ad,Company_171,Cybersecurity,AU,,event,Pro,40,,
A-f45426,Company_172,HealthTech,US,,organic,Basic,9,,
A-c1e51e,Company_173,FinTech,US,,organic,Basic,3,,
A-fa3095,Company_174,FinTech,US,,ads,Basic,70,,
A-ad64c6,Company_175,DevTools,UK,,event,Pro,12,,
A-39b19f,Company_176,FinTech,US,,partner,Enterprise,1,,
A-56962b,Company_177,EdTech,UK,,partner,Enterprise,163,,
A-e60f9d,Company_178,FinTech,US,,other,Basic,29,,
A-88c6ca,Company_179,FinTech,DE,,ads,Basic,5,,
A-158f4e,Company_180,FinTech,IN,,other,Enterprise,61,,
A-5b051a,Company_181,Cybersecurity,US,,event,Enterprise,22,,
A-296d7c,Company_182,DevTools,DE,,other,Enterprise,2,,
A-1619f8,Company_183,DevTools,US,,organic,Pro,29,,
A-a1b80b,Company_184,HealthTech,US,,organic,Basic,16,,
A-139c3b,Company_185,HealthTech,US,,organic,Enterprise,10,,
A-702032,Company_186,HealthTech,US,,ads,Pro,28,,
A-7a0d69,Company_187,DevTools,DE,,ads,Enterprise,4,,
A-22d9d2,Company_188,DevTools,FR,,event,Pro,8,,
A-b9eed8,Company_189,Cybersecurity,US,,organic,Basic,11,,
A-dfbd31,Company_190,DevTools,UK,,partner,Enterprise,14,,
A-8e47ca,Company_191,HealthTech,US,,organic,Pro,19,,
A-4437e4,Company_192,Cybersecurity,US,,event,Enterprise,3,,
A-779e4e,Company_193,HealthTech,US,,organic,Basic,5,,
A-53f4e3,Company_194,Cybersecurity,UK,,event,Enterprise,13,,
A-692f18,Company_195,EdTech,US,,other,Basic,5,,
A-13466a,Company_196,DevTools,AU,,event,Basic,2,,
A-1986ca,Company_197,HealthTech,IN,,ads,Pro,20,,
A-0cc442,Company_198,EdTech,US,,organic,Basic,45,,
A-c608c8,Company_199,DevTools,DE,,ads,Pro,3,,
A-3be56b,Company_200,HealthTech,IN,,event,Pro,3,,
A-354f12,Company_201,FinTech,US,,ads,Pro,1,,
A-68f37c,Company_202,HealthTech,US,,ads,Basic,4,,
A-aa9511,Company_203,DevTools,US,,other,Pro,23,,
A-af0cd2,Company_204,Cybersecurity,IN,,other,Enterprise,19,,
A-bd4513,Company_205,DevTools,AU,,event,Enterprise,50,,
A-c222ab,Company_206,Cybersecurity,US,,other,Pro,32,,
A-34d880,Company_207,Cybersecurity,AU,,ads,Enterprise,4,,
A-508199,Company_208,FinTech,AU,,event,Basic,19,,
A-f03140,Company_209,DevTools,IN,,event,Pro,27,,
A-410e86,Company_210,FinTech,US,,organic,Basic,24,,
A-fa2041,Company_211,HealthTech,US,,organic,Pro,15,,
A-de58ca,Company_212,HealthTech,DE,,organic,Enterprise,15,,
A-05d3b3,Company_213,DevTools,AU,,ads,Basic,9,,
A-249769,Company_214,Cybersecurity,US,,event,Enterprise,4,,
A-e43bf7,Company_215,Cybersecurity,AU,,other,Pro,44,,
A-eb2fdc,Company_216,DevTools,AU,,organic,Enterprise,31,,
A-e1462e,Company_217,FinTech,UK,,partner,Basic,15,,
A-cab532,Company_218,DevTools,FR,,organic,Pro,11,,
A-9123ac,Company_219,Cybersecurity,DE,,organic,Pro,9,,
A-6e08f3,Company_220,Cybersecurity,US,,event,Basic,8,,
A-d922bf,Company_221,HealthTech,US,,ads,Basic,5,,
A-8ed5dd,Company_222,EdTech,UK,,event,Enterprise,5,,
A-7c6b6b,Company_223,FinTech,US,,other,Basic,6,,
A-3c1a3f,Company_224,DevTools,UK,,event,Pro,1,,
A-b48f73,Company_225,EdTech,AU,,event,Pro,80,,
A-76fa4d,Company_226,HealthTech,US,,event,Pro,69,,
A-b2af2e,Company_227,Cybersecurity,UK,,event,Enterprise,5,,
A-9bfc9f,Company_228,DevTools,CA,,ads,Pro,53,,
A-4ae22a,Company_229,EdTech,US,,other,Pro,6,,
A-fda07f,Company_230,Cybersecurity,FR,,partner,Basic,7,,
A-de24d5,Company_231,DevTools,US,,other,Enterprise,5,,
A-977ca0,Company_232,HealthTech,IN,,partner,Basic,6,,
A-ab438f,Company_233,Cybersecurity,US,,ads,Enterprise,13,,
A-e89151,Company_234,FinTech,UK,,organic,Pro,8,,
A-40906c,Company_235,EdTech,US,,ads,Basic,92,,
A-81edc3,Company_236,Cybersecurity,IN,,ads,Basic,5,,
A-328bd0,Company_237,HealthTech,AU,,partner,Enterprise,18,,
A-b3fe05,Company_238,Cybersecurity,CA,,partner,Pro,8,,
A-09540c,Company_239,Cybersecurity,CA,,event,Basic,67,,
A-e693b6,Company_240,FinTech,AU,,event,Enterprise,55,,
A-2446e3,Company_241,EdTech,IN,,organic,Pro,27,,
A-241e75,Company_242,EdTech,US,,partner,Enterprise,3,,
A-922109,Company_243,Cybersecurity,US,,ads,Pro,3,,
A-ff3c73,Company_244,HealthTech,AU,,other,Pro,21,,
A-8b0451,Company_245,FinTech,UK,,event,Enterprise,41,,
A-331424,Company_246,DevTools,US,,organic,Basic,11,,
A-51ec1b,Company_247,DevTools,US,,ads,Enterprise,7,,
A-bcf664,Company_248,DevTools,US,,other,Pro,5,,
A-90a8c8,Company_249,FinTech,AU,,organic,Pro,15,,
A-86cdb4,Company_250,DevTools,DE,,partner,Basic,2,,
A-4bfa33,Company_251,Cybersecurity,US,,event,Basic,8,,
A-dbc825,Company_252,EdTech,FR,,partner,Enterprise,19,,
A-c70870,Company_253,Cybersecurity,US,,partner,Basic,31,,
A-7c4956,Company_254,DevTools,US,,ads,Enterprise,5,,
A-0651a4,Company_255,HealthTech,FR,,organic,Pro,16,,
A-3ce5b8,Company_256,FinTech,IN,,ads,Basic,8,,
A-bd4708,Company_257,FinTech,US,,ads,Pro,37,,
A-993085,Company_258,HealthTech,US,,ads,Basic,31,,
A-92a3af,Company_259,Cybersecurity,IN,,organic,Enterprise,25,,
A-151c9a,Company_260,FinTech,US,,ads,Enterprise,23,,
A-474ad4,Company_261,EdTech,US,,organic,Basic,8,,
A-4ef964,Company_262,HealthTech,US,,organic,Pro,17,,
A-fd9422,Company_263,Cybersecurity,US,,organic,Pro,58,,
A-0baac2,Company_264,FinTech,DE,,organic,Enterprise,14,,
A-bb1486,Company_265,HealthTech,US,,organic,Basic,41,,
A-560d27,Company_266,DevTools,US,,organic,Pro,23,,
A-0b0d6d,Company_267,DevTools,US,,organic,Pro,3,,
A-2789e3,Company_268,FinTech,US,,partner,Enterprise,11,,
A-b07346,Company_269,HealthTech,US,,partner,Pro,51,,
A-902ef7,Company_270,HealthTech,US,,other,Enterprise,83,,
A-20736a,Company_271,EdTech,IN,,organic,Enterprise,50,,
A-e4bf56,Company_272,HealthTech,IN,,ads,Pro,17,,
A-cea1f0,Company_273,FinTech,US,,event,Pro,8,,
A-ef84cf,Company_274,EdTech,US,,partner,Enterprise,8,,
A-d49cc5,Company_275,Cybersecurity,FR,,event,Basic,50,,
A-67be94,Company_276,EdTech,US,,organic,Enterprise,26,,
A-4e960a,Company_277,FinTech,US,,other,Enterprise,12,,
A-c37cab,Company_278,Cybersecurity,UK,,event,Pro,13,,
A-533452,Company_279,DevTools,AU,,organic,Pro,9,,
A-443b7c,Company_280,Cybersecurity,US,,other,Enterprise,1,,
A-1f7acb,Company_281,FinTech,UK,,ads,Basic,64,,
A-f51f16,Company_282,HealthTech,US,,partner,Enterprise,1,,
A-5a3eb9,Company_283,DevTools,CA,,other,Enterprise,18,,
A-5f2961,Company_284,HealthTech,US,,partner,Basic,4,,
A-417d2f,Company_285,Cybersecurity,IN,,partner,Pro,4,,
A-e98302,Company_286,EdTech,US,,ads,Enterprise,16,,
A-8bde0c,Company_287,DevTools,US,,organic,Basic,12,,
A-bcf87c,Company_288,FinTech,US,,event,Pro,10,,
A-54ecc2,Company_289,Cybersecurity,US,,partner,Enterprise,4,,
A-625d0b,Company_290,EdTech,AU,,ads,Basic,9,,
A-fce879,Company_291,EdTech,UK,,partner,Pro,10,,
A-b07b56,Company_292,DevTools,US,,event,Pro,25,,
A-6da850,Company_293,FinTech,IN,,organic,Pro,5,,
A-342303,Company_294,EdTech,US,,other,Pro,1,,
A-e7a1e2,Company_295,Cybersecurity,US,,event,Enterprise,3,,
A-f1f639,Company_296,EdTech,US,,ads,Basic,2,,
A-a865bd,Company_297,Cybersecurity,US,,organic,Pro,38,,
A-4e631b,Company_298,FinTech,US,,other,Enterprise,22,,
A-7f6b86,Company_299,HealthTech,US,,partner,Basic,45,,
A-8adedc,Company_300,EdTech,US,,event,Basic,4,,
A-2edab2,Company_301,HealthTech,US,,event,Enterprise,17,,
A-149a69,Company_302,DevTools,US,,event,Basic,34,,
A-a6d261,Company_303,FinTech,CA,,other,Pro,9,,
A-443f6f,Company_304,Cybersecurity,US,,organic,Basic,19,,
A-202b67,Company_305,HealthTech,US,,organic,Pro,11,,
A-00bed1,Company_306,Cybersecurity,US,,ads,Basic,28,,
A-ffc04f,Company_307,EdTech,US,,ads,Pro,13,,
A-65c341,Company_308,FinTech,US,,ads,Pro,11,,
A-dcc2f0,Company_309,FinTech,UK,,organic,Basic,15,,
A-ced9aa,Company_310,DevTools,US,,other,Enterprise,3,,
A-3d957b,Company_311,HealthTech,UK,,other,Pro,14,,
A-89ee83,Company_312,Cybersecurity,US,,organic,Pro,1,,
A-883b7d,Company_313,Cybersecurity,IN,,other,Basic,17,,
A-dcc3f1,Company_314,HealthTech,US,,event,Pro,21,,
A-c62e55,Company_315,EdTech,US,,partner,Basic,1,,
A-e4144b,Company_316,EdTech,UK,,other,Pro,41,,
A-e40f45,Company_317,HealthTech,US,,organic,Pro,21,,
A-96215d,Company_318,FinTech,US,,event,Enterprise,10,,
A-2b9d3e,Company_319,EdTech,US,,partner,Enterprise,1,,
A-b7724f,Company_320,HealthTech,UK,,organic,Basic,1,,
A-310452,Company_321,DevTools,FR,,other,Enterprise,9,,
A-eb1312,Company_322,FinTech,US,,partner,Pro,25,,
A-df1e44,Company_323,Cybersecurity,UK,,organic,Enterprise,12,,
A-6a7c9d,Company_324,Cybersecurity,US,,organic,Enterprise,26,,
A-cbd1a3,Company_325,DevTools,US,,other,Basic,6,,
A-a8d89d,Company_326,EdTech,US,,ads,Pro,13,,
A-600734,Company_327,DevTools,US,,organic,Pro,29,,
A-86fc1d,Company_328,DevTools,UK,,partner,Basic,26,,
A-78f02b,Company_329,HealthTech,US,,event,Enterprise,11,,
A-acb7f7,Company_330,EdTech,US,,ads,Basic,32,,
A-712f1c,Company_331,DevTools,US,,ads,Basic,17,,
A-3793ee,Company_332,Cybersecurity,CA,,organic,Enterprise,49,,
A-9a532a,Company_333,HealthTech,US,,partner,Enterprise,11,,
A-2ebb4b,Company_334,HealthTech,US,,ads,Basic,41,,
A-6843f2,Company_335,HealthTech,CA,,ads,Enterprise,21,,
A-c9bb3e,Company_336,EdTech,US,,ads,Pro,5,,
A-4814a3,Company_337,Cybersecurity,IN,,event,Basic,87,,
A-b7b7b7,Company_338,FinTech,US,,event,Basic,24,,
A-ccc747,Company_339,HealthTech,FR,,event,Pro,16,,
A-bb3bd4,Company_340,HealthTech,US,,ads,Basic,23,,
A-09316c,Company_341,FinTech,AU,,organic,Enterprise,70,,
A-96bbc6,Company_342,Cybersecurity,US,,organic,Enterprise,39,,
A-bc4d48,Company_343,EdTech,US,,ads,Pro,35,,
A-b30291,Company_344,HealthTech,US,,event,Basic,5,,
A-cdf020,Company_345,DevTools,AU,,organic,Pro,23,,
A-e6afc1,Company_346,DevTools,US,,ads,Pro,1,,
A-e3bd71,Company_347,Cybersecurity,US,,partner,Basic,31,,
A-b179bf,Company_348,Cybersecurity,IN,,ads,Basic,43,,
A-098560,Company_349,DevTools,UK,,ads,Enterprise,1,,
A-82861f,Company_350,DevTools,UK,,organic,Basic,41,,
A-94c3cd,Company_351,FinTech,CA,,other,Enterprise,32,,
A-a33200,Company_352,HealthTech,US,,partner,Basic,29,,
A-034368,Company_353,EdTech,US,,event,Enterprise,19,,
A-b54c01,Company_354,DevTools,US,,event,Enterprise,29,,
A-d82ef9,Company_355,EdTech,UK,,other,Basic,26,,
A-bb2f49,Company_356,Cybersecurity,US,,other,Pro,8,,
A-1f559b,Company_357,HealthTech,US,,organic,Enterprise,5,,
A-5a215a,Company_358,EdTech,FR,,other,Enterprise,87,,
A-3f9cc0,Company_359,HealthTech,US,,event,Basic,22,,
A-f9cc74,Company_360,DevTools,FR,,partner,Enterprise,30,,
A-ed510f,Company_361,Cybersecurity,IN,,partner,Basic,42,,
A-5c9849,Company_362,EdTech,IN,,partner,Basic,19,,
A-a7bd4b,Company_363,Cybersecurity,US,,ads,Enterprise,5,,
A-d4ac0e,Company_364,DevTools,UK,,ads,Basic,18,,
A-ffdfd5,Company_365,EdTech,US,,organic,Basic,3,,
A-0dbdc6,Company_366,Cybersecurity,DE,,other,Pro,30,,
A-7cfe77,Company_367,DevTools,US,,ads,Pro,69,,
A-1f0636,Company_368,EdTech,AU,,partner,Pro,105,,
A-40de06,Company_369,Cybersecurity,US,,event,Enterprise,28,,
A-cb5333,Company_370,DevTools,US,,ads,Pro,33,,
A-309e54,Company_371,DevTools,US,,other,Pro,15,,
A-6e7827,Company_372,DevTools,US,,other,Basic,1,,
A-50bb9f,Company_373,Cybersecurity,US,,organic,Pro,2,,
A-5fe118,Company_374,Cybersecurity,US,,other,Enterprise,39,,
A-5247b3,Company_375,FinTech,UK,,partner,Pro,16,,
A-f44180,Company_376,Cybersecurity,UK,,event,Pro,9,,
A-c16cf7,Company_377,EdTech,US,,event,Pro,13,,
A-d42431,Company_378,FinTech,FR,,ads,Enterprise,22,,
A-6965e1,Company_379,DevTools,US,,organic,Basic,13,,
A-0354fe,Company_380,Cybersecurity,US,,other,Basic,34,,
A-0a62f5,Company_381,FinTech,UK,,partner,Pro,16,,
A-f5641b,Company_382,EdTech,US,,other,Pro,31,,
A-b44e3e,Company_383,Cybersecurity,UK,,ads,Basic,40,,
A-3b37d9,Company_384,FinTech,US,,event,Enterprise,23,,
A-54d94a,Company_385,Cybersecurity,IN,,event,Basic,27,,
A-7f29a7,Company_386,Cybersecurity,UK,,event,Basic,41,,
A-089363,Company_387,FinTech,AU,,event,Basic,2,,
A-524364,Company_388,DevTools,FR,,partner,Enterprise,3,,
A-855a48,Company_389,EdTech,US,,partner,Pro,14,,
A-756192,Company_390,FinTech,IN,,other,Basic,19,,
A-49b828,Company_391,FinTech,IN,,ads,Pro,6,,
A-c7ffc2,Company_392,Cybersecurity,US,,partner,Pro,30,,
A-751c58,Company_393,FinTech,UK,,organic,Basic,15,,
A-72799b,Company_394,DevTools,FR,,event,Enterprise,20,,
A-812c5b,Company_395,DevTools,CA,,organic,Basic,55,,
A-69b156,Company_396,EdTech,US,,other,Pro,7,,
A-075038,Company_397,HealthTech,UK,,ads,Basic,17,,
A-940b8b,Company_398,HealthTech,DE,,organic,Basic,1,,
A-2d1036,Company_399,FinTech,US,,ads,Pro,69,,
A-0f6450,Company_400,FinTech,US,,other,Pro,28,,
A-9affe6,Company_401,Cybersecurity,US,,other,Pro,7,,
A-80eeb6,Company_402,Cybersecurity,UK,,organic,Enterprise,22,,
A-d4e0d4,Company_403,FinTech,US,,other,Basic,117,,
A-c7e58b,Company_404,HealthTech,IN,,other,Pro,3,,
A-016043,Company_405,EdTech,CA,,organic,Basic,4,,
A-bbe56f,Company_406,HealthTech,US,,ads,Enterprise,21,,
A-7c5768,Company_407,HealthTech,UK,,event,Enterprise,3,,
A-751bd4,Company_408,Cybersecurity,UK,,partner,Pro,10,,
A-4e0e85,Company_409,DevTools,US,,organic,Enterprise,6,,
A-ad3abd,Company_410,FinTech,US,,event,Pro,44,,
A-e19ff6,Company_411,Cybersecurity,UK,,partner,Enterprise,1,,
A-7920cc,Company_412,Cybersecurity,FR,,ads,Pro,39,,
A-5a92e7,Company_413,HealthTech,US,,ads,Pro,4,,
A-fdfc91,Company_414,Cybersecurity,US,,ads,Basic,29,,
A-1e50e0,Company_415,Cybersecurity,DE,,other,Pro,19,,
A-1e1b80,Company_416,FinTech,CA,,other,Enterprise,50,,
A-659280,Company_417,FinTech,IN,,event,Enterprise,13,,
A-f6b2fb,Company_418,DevTools,AU,,event,Basic,23,,
A-cb6cc6,Company_419,DevTools,US,,ads,Basic,13,,
A-d62e02,Company_420,Cybersecurity,US,,partner,Pro,6,,
A-d535f6,Company_421,DevTools,US,,organic,Basic,12,,
A-39868b,Company_422,FinTech,AU,,partner,Pro,9,,
A-3cc791,Company_423,EdTech,US,,other,Enterprise,6,,
A-337bc1,Company_424,Cybersecurity,US,,organic,Pro,30,,
A-58b9ff,Company_425,DevTools,IN,,partner,Enterprise,2,,
