ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
T-121d6f,A-d5a319,,,17,low,132,4.0,
T-fd1ba2,A-d27f50,,,40,high,158,4.0,
T-b6d7ac,A-a0ca4e,,,11,low,12,5.0,
T-f2b9a5,A-f6b2fb,,,36,medium,138,5.0,
T-61fc87,A-034368,,,65,medium,127,3.0,
T-00fa83,A-9208f0,,,70,low,6,4.0,
T-358dd5,A-ced9aa,,,57,medium,131,4.0,
T-54e843,A-bb3bd4,,,8,medium,63,3.0,
T-50ad36,A-922109,,,26,medium,126,4.0,
T-06bf16,A-4a4c2d,,,30,medium,44,4.0,
T-f155f0,A-b179bf,,,6,high,156,4.0,
T-777753,A-ce66f8,,,69,low,74,4.0,
T-857a8d,A-bb3bd4,,,66,medium,52,4.0,
T-384dcb,A-bc4d48,,,71,urgent,6,5.0,
T-970c6c,A-439b2f,,,20,urgent,123,4.0,
T-50c7f8,A-a1bbb6,,,36,urgent,47,4.0,
T-a528f4,A-b78bf8,,,24,urgent,7,3.0,
T-7b7a5a,A-1e50e0,,,19,high,170,5.0,
T-c9a73c,A-b9f5b1,,,18,urgent,86,4.0,
T-486b6b,A-883b7d,,,22,urgent,102,5.0,
T-19cc99,A-c16b88,,,53,high,134,4.0,
T-35fc90,A-e98302,,,67,low,121,4.0,
T-d4142b,A-700ade,,,66,urgent,69,4.0,
T-6ba215,A-56962b,,,66,low,73,3.0,
T-e5c785,A-b54c01,,,26,medium,41,3.0,
T-4f0d98,A-e40f45,,,10,urgent,19,4.0,
T-e97da3,A-45ce7a,,,25,low,81,4.0,
T-990a0e,A-fa3095,,,48,high,28,4.0,
T-ce1dee,A-d792a6,,,32,low,126,4.0,
T-b7b797,A-bbc346,,,35,medium,24,4.0,
T-847498,A-7cfe77,,,59,high,36,4.0,
T-2ef49b,A-cc1d8d,,,45,medium,33,5.0,
T-fb6fa3,A-0a62f5,,,8,urgent,57,4.0,
T-a3f900,A-ae052e,,,29,medium,126,3.0,
T-b9e7df,A-526d93,,,5,medium,158,4.0,
T-0e6db2,A-ccc747,,,60,urgent,169,5.0,
T-4c2f4b,A-726cfa,,,37,high,150,4.0,
T-e7dc15,A-39868b,,,22,medium,137,4.0,
T-9876fb,A-2e3bad,,,14,high,92,4.0,
T-2c6679,A-0be015,,,51,medium,73,5.0,
T-03303d,A-87aa7b,,,59,high,7,4.0,
T-1ed4c4,A-c62e55,,,15,urgent,129,5.0,
T-7c6ab3,A-65a46c,,,57,urgent,96,5.0,
T-67bfcf,A-3932db,,,36,urgent,144,3.0,
T-088eb6,A-ac14bb,,,21,high,23,4.0,
T-b4bec0,A-117171,,,33,urgent,137,4.0,
T-03d219,A-ae052e,,,53,urgent,6,4.0,
T-7c2d38,A-ad3abd,,,1,high,35,4.0,
T-1112c6,A-de24d5,,,72,urgent,24,3.0,
T-938c6d,A-a8d89d,,,60,low,132,4.0,
T-d2e273,A-9f9299,,,5,high,94,4.0,
T-bdc72c,A-34d880,,,62,medium,106,3.0,
T-7d4777,A-66224b,,,40,medium,4,3.0,
T-03624c,A-7c6b6b,,,58,low,68,3.0,
T-3fab11,A-463db0,,,55,high,123,5.0,
T-37f2cf,A-faa28c,,,41,urgent,127,5.0,
T-826f63,A-f9cc74,,,72,low,169,4.0,
T-f7ec04,A-ad296b,,,16,urgent,74,3.0,
T-856d24,A-dbc825,,,53,high,166,4.0,
T-cbfd6b,A-8b0451,,,25,medium,137,4.0,
T-66636b,A-37f969,,,70,medium,116,4.0,
T-be44ea,A-bc4d48,,,49,medium,19,5.0,
T-fcd539,A-7da956,,,21,urgent,97,4.0,
T-433a53,A-297a2d,,,10,high,160,3.0,
T-5fb9f7,A-0f7d77,,,19,medium,88,4.0,
T-ced995,A-76fa4d,,,43,urgent,92,4.0,
T-9398db,A-bbe56f,,,48,low,107,5.0,
T-58a90d,A-cb6cc6,,,26,high,170,3.0,
T-8833a5,A-a1b80b,,,34,medium,150,4.0,
T-ef7c6e,A-f446b6,,,1,high,47,5.0,
T-b8ed8f,A-22f2df,,,11,high,99,4.0,
T-97fa24,A-f51f16,,,9,medium,73,3.0,
T-290bd4,A-ccc747,,,3,medium,18,4.0,
T-c45238,A-3f9cc0,,,60,medium,139,4.0,
T-a8de52,A-5b4ebb,,,17,medium,128,5.0,
T-73259c,A-54ecc2,,,20,medium,59,4.0,
T-eace7b,A-9c18c4,,,32,low,156,4.0,
T-9cb671,A-ce550d,,,55,high,73,4.0,
T-ae23c2,A-7e0a10,,,39,urgent,127,5.0,
T-1cbbd0,A-c1dfe1,,,33,urgent,38,4.0,
T-78b6e2,A-55f257,,,31,high,45,5.0,
T-a941f1,A-a09355,,,8,low,129,5.0,
T-667845,A-82861f,,,11,urgent,77,3.0,
T-546223,A-ccabf0,,,61,high,46,4.0,
T-6a2899,A-4437e4,,,51,medium,136,4.0,
T-ceb781,A-712533,,,9,low,108,3.0,
T-365342,A-39868b,,,29,low,146,5.0,
T-e9e7a7,A-3be56b,,,22,low,107,3.0,
T-4be927,A-96bbc6,,,62,low,31,3.0,
T-5b7600,A-bd4513,,,45,medium,127,5.0,
T-d0e9c2,A-0f6450,,,36,medium,112,4.0,
T-62d8ce,A-50f3f7,,,26,low,165,5.0,
T-2a24d4,A-8145a0,,,17,urgent,87,3.0,
T-a3d1d0,A-c58f49,,,44,urgent,54,4.0,
T-ade86f,A-e3bd71,,,16,low,96,4.0,
T-b8e4c5,A-ef84cf,,,34,low,98,4.0,
T-ffeda5,A-560d27,,,40,medium,90,4.0,
T-e938bb,A-832ec2,,,54,medium,171,4.0,
T-85af66,A-1f7acb,,,13,medium,165,4.0,
T-e13c08,A-de58ca,,,6,low,23,4.0,
T-f365f1,A-9779ad,,,43,medium,161,5.0,
T-dd45ee,A-8ed5dd,,,8,high,97,3.0,
T-59d842,A-158f4e,,,67,medium,168,4.0,
T-4a12e6,A-d42431,,,47,urgent,108,5.0,
T-3bfb51,A-425e76,,,23,high,60,4.0,
T-d3391b,A-cb5333,,,65,low,165,4.0,
T-ae6671,A-798a3f,,,58,urgent,112,4.0,
T-300e16,A-22d9d2,,,4,urgent,131,3.0,
T-167962,A-e3bd71,,,32,high,143,3.0,
T-1760ba,A-0b0d6d,,,36,medium,1,3.0,
T-a231f8,A-76fa4d,,,22,high,177,4.0,
T-706693,A-b54c01,,,38,medium,19,3.0,
T-fe8af7,A-90a8c8,,,24,low,33,3.0,
T-a427d8,A-4ef964,,,5,high,61,3.0,
T-30b4eb,A-104f1a,,,12,medium,37,4.0,
T-abb562,A-700ade,,,12,low,6,5.0,
T-a819c9,A-139c3b,,,62,urgent,38,4.0,
T-36d4a7,A-902ef7,,,37,urgent,130,4.0,
T-5c2f82,A-1f559b,,,68,urgent,143,4.0,
T-701980,A-ced9aa,,,20,low,125,3.0,
T-5f6c15,A-e43bf7,,,5,medium,26,3.0,
T-07593c,A-310452,,,11,medium,145,3.0,
T-6807e7,A-a33200,,,16,low,118,4.0,
T-027d8f,A-508199,,,44,urgent,27,4.0,
T-3798d5,A-5ed98d,,,12,medium,56,4.0,
T-763f2d,A-118f1c,,,64,medium,141,3.0,
T-196fca,A-6843f2,,,61,high,22,3.0,
T-b2adad,A-54ecc2,,,57,medium,20,5.0,
T-37b69f,A-bb1eaa,,,1,urgent,114,4.0,
T-f873ff,A-9123ac,,,40,low,73,4.0,
T-2a2ecd,A-533452,,,47,medium,30,4.0,
T-b29471,A-44dc83,,,40,high,53,4.0,
T-c32093,A-313be3,,,8,urgent,41,4.0,
T-f0f18c,A-ed510f,,,64,high,137,4.0,
T-4c7b15,A-443f6f,,,50,low,126,5.0,
T-ca36f7,A-812c5b,,,38,high,108,4.0,
T-a1bab0,A-45ce7a,,,50,medium,141,4.0,
T-5daa6c,A-f44180,,,32,low,157,5.0,
T-ea0979,A-855a48,,,38,urgent,177,4.0,
T-308071,A-f51f16,,,35,high,10,3.0,
T-ed091b,A-09316c,,,58,medium,129,4.0,
T-fd14d8,A-751c58,,,49,medium,178,4.0,
T-3a3a53,A-139c3b,,,26,medium,89,5.0,
T-35ae60,A-7641d3,,,70,medium,174,4.0,
T-93f5f0,A-3c1a3f,,,5,low,20,4.0,
T-0a835d,A-0aaf6e,,,56,low,14,4.0,
T-a79931,A-b179bf,,,53,low,94,4.0,
T-54b348,A-50f3f7,,,55,low,41,4.0,
T-ee77ae,A-8ed5dd,,,51,low,87,4.0,
T-fb798a,A-8bde0c,,,9,medium,64,4.0,
T-b0b086,A-bb3bd4,,,35,medium,65,5.0,
T-6de710,A-7da956,,,42,low,55,4.0,
T-d319e4,A-eb7c38,,,25,low,46,4.0,
T-041287,A-34ea2f,,,70,urgent,19,4.0,
T-496c6b,A-1e1b80,,,69,low,150,3.0,
T-d92e2e,A-712426,,,67,high,67,4.0,
T-6f8270,A-dbc825,,,72,high,118,3.0,
T-2a21f8,A-1f7acb,,,8,medium,92,4.0,
T-08e86b,A-9f9299,,,3,urgent,160,4.0,
T-bdbc42,A-31ab9a,,,62,urgent,90,4.0,
T-996921,A-751bd4,,,41,urgent,124,5.0,
T-c722ef,A-ced9aa,,,18,low,69,4.0,
T-100066,A-7f6b86,,,48,high,166,4.0,
T-51307e,A-b78bf8,,,40,low,93,5.0,
T-e545b2,A-dfbd31,,,45,low,158,5.0,
T-5a402d,A-e7beab,,,63,low,138,3.0,
T-287b04,A-92a333,,,25,low,11,4.0,
T-2c61f3,A-4bfa33,,,16,high,180,3.0,
T-c2b413,A-90a8c8,,,70,urgent,13,3.0,
T-a7489c,A-7e0a10,,,68,high,72,4.0,
T-011d5c,A-a09355,,,63,urgent,34,3.0,
T-af4249,A-dec005,,,66,low,180,3.0,
T-2904e8,A-692f18,,,20,low,144,4.0,
T-a9333e,A-5ed98d,,,72,medium,77,4.0,
T-4d5bca,A-970c97,,,61,urgent,139,5.0,
T-f0d824,A-b9f5b1,,,28,urgent,165,3.0,
T-05b5f6,A-cc1d8d,,,40,high,137,4.0,
T-246510,A-bb3bd4,,,41,high,160,5.0,
T-e7f66c,A-241e75,,,52,low,136,4.0,
T-dcb2e1,A-34d880,,,61,medium,78,3.0,
T-0e3932,A-118d55,,,11,medium,32,4.0,
T-52fd00,A-0532a9,,,7,medium,49,4.0,
T-d5e01b,A-de24d5,,,1,high,177,4.0,
T-5a765e,A-3cc791,,,71,high,38,5.0,
T-1bc086,A-00cac8,,,1,urgent,92,4.0,
T-30ab22,A-65aeb5,,,53,high,146,5.0,
T-a1ebca,A-712426,,,32,medium,43,4.0,
T-d9e588,A-bbe56f,,,7,low,117,3.0,
T-765765,A-4437e4,,,44,high,120,4.0,
T-848076,A-c42f1f,,,8,low,105,3.0,
T-00644f,A-8adedc,,,66,medium,62,4.0,
T-ec469a,A-e4bf56,,,52,urgent,72,5.0,
T-d1c41b,A-98a59a,,,24,high,68,4.0,
T-090534,A-cc8c8f,,,7,urgent,143,4.0,
T-367cc3,A-b7b7b7,,,1,medium,159,5.0,
T-f86b35,A-139c3b,,,11,urgent,108,4.0,
T-e23a37,A-855a48,,,13,high,55,4.0,
T-776916,A-0a282f,,,65,medium,12,5.0,
T-0854f6,A-310452,,,67,urgent,178,3.0,
T-2c34c5,A-034368,,,65,low,34,5.0,
T-270c25,A-81edc3,,,69,high,56,4.0,
T-f3e69b,A-b7ef83,,,67,medium,70,4.0,
T-2987d9,A-50f3f7,,,30,urgent,155,5.0,
T-da63ee,A-149a69,,,33,high,79,5.0,
T-44b600,A-eafc6e,,,64,medium,136,4.0,
T-4d0d5b,A-5a215a,,,12,urgent,126,4.0,
T-7cca37,A-dbc825,,,40,medium,128,5.0,
T-122749,A-4e960a,,,43,low,77,4.0,
T-27d61d,A-c7e58b,,,13,medium,171,4.0,
T-86e757,A-82d8a6,,,51,high,129,4.0,
T-13e2c4,A-92a3af,,,71,medium,29,5.0,
T-df9759,A-b7724f,,,15,medium,86,3.0,
T-c556c6,A-7c5768,,,50,high,39,4.0,
T-e57828,A-883b7d,,,43,high,52,4.0,
T-fc25d0,A-fd7ad3,,,61,high,138,4.0,
T-743f15,A-d49cc5,,,64,urgent,2,4.0,
T-9bbea1,A-b54c01,,,52,low,172,4.0,
T-9bf64e,A-3ce5b8,,,29,high,87,4.0,
T-7cefd9,A-7920cc,,,63,medium,146,5.0,
T-9717fc,A-cea1f0,,,57,medium,145,4.0,
T-b43464,A-08e34e,,,68,high,67,3.0,
T-29abed,A-cd458b,,,50,urgent,39,5.0,
T-4e24d4,A-b3fe05,,,66,urgent,75,4.0,
T-990f20,A-6a7c9d,,,28,medium,42,3.0,
T-618d10,A-afa505,,,19,urgent,130,4.0,
T-9736d7,A-d4e0d4,,,19,medium,66,4.0,
T-7a48cd,A-4c38bc,,,66,medium,37,4.0,
T-8f1182,A-fa3095,,,50,high,98,4.0,
T-926ee8,A-5a92e7,,,68,high,9,5.0,
T-21c5ae,A-9123ac,,,37,urgent,77,4.0,
T-7d1efb,A-eb2fdc,,,46,medium,16,4.0,
T-bad86e,A-7c6b6b,,,68,high,144,4.0,
T-818ae1,A-6965e1,,,57,low,55,4.0,
T-e1cf37,A-4c38bc,,,68,high,72,3.0,
T-104009,A-fd7ad3,,,55,high,82,4.0,
T-2b7d40,A-474ad4,,,48,medium,65,4.0,
T-b4f3d9,A-378b99,,,5,low,101,5.0,
T-d6ab6c,A-66224b,,,6,urgent,58,3.0,
T-62b1dd,A-a45270,,,67,medium,112,4.0,
T-cd4a87,A-798a3f,,,45,urgent,38,3.0,
T-3aa54d,A-db5e9e,,,64,low,177,5.0,
T-640bda,A-96bbc6,,,28,medium,112,3.0,
T-8e435c,A-e1b9cd,,,35,high,115,3.0,
T-32b901,A-67be94,,,49,high,1,4.0,
T-867910,A-3793ee,,,70,high,11,4.0,
T-316da7,A-1ac5e0,,,35,high,44,4.0,
T-3517a8,A-702032,,,52,medium,43,4.0,
T-86c6c6,A-8adedc,,,59,high,22,4.0,
T-565965,A-3b5cd1,,,41,urgent,42,4.0,
T-096b66,A-313be3,,,6,urgent,69,4.0,
T-d90ef7,A-e2cd1b,,,67,medium,101,4.0,
T-495585,A-acb7f7,,,23,medium,31,3.0,
T-502019,A-4e631b,,,20,low,18,4.0,
T-b6d93a,A-50bb9f,,,34,low,35,4.0,
T-d5352f,A-c1e51e,,,53,high,148,3.0,
T-5f94dd,A-d82ef9,,,13,high,149,4.0,
T-d0ff21,A-378b99,,,34,medium,40,5.0,
T-1d7cfb,A-05d3b3,,,15,urgent,44,5.0,
T-759c6f,A-fb186e,,,43,medium,132,3.0,
T-0c378b,A-f03140,,,41,low,169,4.0,
T-bde8aa,A-781cc0,,,31,high,133,4.0,
T-bf01b8,A-59f724,,,19,urgent,30,4.0,
T-926f27,A-34d880,,,64,low,127,3.0,
T-952a1a,A-9bfc9f,,,63,high,168,4.0,
T-361edc,A-eb7fac,,,23,low,112,4.0,
T-2d4793,A-ce550d,,,3,urgent,88,4.0,
T-9bfb24,A-ad64c6,,,68,high,2,5.0,
T-abcd41,A-6da850,,,36,medium,44,4.0,
T-5b0ebb,A-cea1f0,,,29,high,17,4.0,
T-2e5c7e,A-ff79f2,,,63,low,136,4.0,
T-ac4493,A-66224b,,,53,medium,172,4.0,
T-6f11a3,A-a1b80b,,,58,urgent,18,4.0,
T-88949f,A-68f37c,,,43,low,173,4.0,
T-d612f3,A-bb1486,,,18,low,1,3.0,
T-c127ef,A-149a69,,,25,high,170,4.0,
T-6858fa,A-034368,,,24,medium,51,4.0,
T-6db7d8,A-e888d1,,,26,urgent,68,3.0,
T-ad4ec7,A-560d27,,,12,low,62,3.0,
T-a51205,A-cd458b,,,42,urgent,76,3.0,
T-4dd126,A-af0cd2,,,36,medium,123,4.0,
T-6750a4,A-a33200,,,37,low,101,4.0,
T-33d113,A-7e0a10,,,33,high,30,4.0,
T-58506b,A-158f4e,,,13,urgent,124,4.0,
T-753ba1,A-4bfa33,,,19,high,29,4.0,
T-59d67b,A-86902e,,,48,urgent,17,3.0,
T-6ec2a9,A-9208f0,,,70,low,3,4.0,
T-b1d1d0,A-bcf664,,,25,urgent,128,3.0,
T-130a82,A-cb5333,,,25,low,35,3.0,
T-66d999,A-b44e3e,,,39,urgent,41,5.0,
T-037337,A-378b99,,,16,low,1,4.0,
T-342b36,A-cc102e,,,61,low,177,5.0,
T-223760,A-2edab2,,,59,low,124,4.0,
T-9eb2b5,A-dcc3f1,,,30,urgent,144,5.0,
T-f3e7c5,A-756192,,,17,urgent,119,5.0,
T-116af1,A-dcc2f0,,,52,urgent,93,4.0,
T-29279c,A-812c5b,,,43,urgent,127,4.0,
T-b0acc7,A-1f559b,,,48,medium,126,4.0,
T-d32d8c,A-c1e51e,,,25,urgent,55,4.0,
T-cb9d4b,A-fd7ad3,,,38,medium,144,4.0,
T-475284,A-d27f50,,,15,low,99,3.0,
T-411989,A-2446e3,,,8,medium,148,4.0,
T-863bcf,A-bece89,,,26,medium,163,4.0,
T-866ebe,A-b07b56,,,27,urgent,115,4.0,
T-e0c9bf,A-6da850,,,69,medium,26,4.0,
T-458e24,A-f25509,,,20,medium,147,4.0,
T-c8be02,A-378b99,,,49,medium,115,5.0,
T-7f088c,A-4e44e8,,,71,low,175,4.0,
T-4a0f02,A-186a44,,,51,urgent,61,4.0,
T-f3f1b8,A-dbc825,,,70,low,122,4.0,
T-79b057,A-31ab9a,,,27,low,66,4.0,
T-11534a,A-524364,,,65,low,110,5.0,
T-c0d8b2,A-8b0451,,,49,urgent,23,3.0,
T-ad6a24,A-7e0a10,,,46,urgent,43,4.0,
T-cbc17d,A-7c5768,,,19,medium,62,4.0,
T-1d4920,A-b7b7b7,,,9,low,101,4.0,
T-ef0a78,A-ad296b,,,38,medium,81,3.0,
T-b369df,A-c7e58b,,,16,low,125,3.0,
T-29e9b8,A-4a267b,,,7,low,166,5.0,
T-96702f,A-9077b0,,,68,high,176,5.0,
T-9df3b0,A-eb2fdc,,,55,low,42,4.0,
T-a39933,A-ed510f,,,44,urgent,129,5.0,
T-7febc0,A-779e4e,,,33,urgent,79,3.0,
T-84717f,A-f19409,,,1,urgent,90,4.0,
T-135f77,A-cd458b,,,53,medium,146,5.0,
T-41014e,A-a0ca4e,,,61,high,40,4.0,
T-5c0331,A-940b8b,,,47,high,47,4.0,
T-3ec096,A-f97b9a,,,59,high,32,3.0,
T-251fda,A-856b1e,,,1,low,123,4.0,
T-8d3d46,A-30b4ca,,,64,medium,131,4.0,
T-051e5b,A-e08cd3,,,11,urgent,59,5.0,
T-429ce6,A-c45b23,,,7,high,55,3.0,
T-3367b8,A-ba6516,,,66,low,14,4.0,
T-1e3043,A-b78bf8,,,2,urgent,89,5.0,
T-c0ce04,A-94f8c9,,,51,urgent,29,4.0,
T-864e85,A-9bfc9f,,,58,low,72,3.0,
T-2b1a0a,A-89ee83,,,13,medium,35,4.0,
T-5c9e4d,A-c7e58b,,,55,urgent,104,4.0,
T-af95b8,A-58b9ff,,,65,low,120,4.0,
T-471c3e,A-3ce5b8,,,41,high,89,4.0,
T-862ab3,A-31ab9a,,,59,medium,85,3.0,
T-7b0fe1,A-716841,,,40,low,176,4.0,
T-ac5eaa,A-55f257,,,36,urgent,144,5.0,
T-f27d8b,A-7920cc,,,47,urgent,113,4.0,
T-60706c,A-2922b6,,,27,urgent,136,4.0,
T-3a3aa1,A-3b5cd1,,,9,low,24,4.0,
T-e74b9f,A-94d3da,,,36,low,98,3.0,
T-dfad13,A-5b1bcd,,,5,urgent,143,5.0,
T-60c481,A-5247b3,,,57,urgent,131,4.0,
T-772cfe,A-e51ec7,,,45,high,87,5.0,
T-187648,A-592832,,,41,medium,51,4.0,
T-48f8ab,A-dcc2f0,,,2,medium,107,4.0,
T-35ba6a,A-ab438f,,,4,urgent,139,3.0,
T-5b9038,A-d922bf,,,23,high,7,3.0,
T-690c29,A-c222ab,,,71,medium,77,5.0,
T-3f754a,A-bb3bd4,,,14,urgent,36,5.0,
T-367563,A-e61e98,,,5,medium,175,4.0,
T-0079ed,A-cc98bc,,,3,urgent,125,4.0,
T-69e92c,A-ccabf0,,,46,medium,114,3.0,
T-e3d7af,A-526d93,,,54,low,157,4.0,
T-f708b2,A-bc87bc,,,11,low,177,3.0,
T-b2b3fd,A-7df7a7,,,26,high,132,3.0,
T-1dc468,A-4c6f11,,,20,urgent,14,5.0,
T-b78a44,A-9208f0,,,32,medium,103,4.0,
T-194946,A-65aeb5,,,32,low,173,4.0,
T-cbfee6,A-5247b3,,,52,high,173,4.0,
T-ea7839,A-ba6516,,,24,low,58,3.0,
T-32cb13,A-1986ca,,,15,urgent,146,4.0,
T-88d5fe,A-0b0d6d,,,41,urgent,59,4.0,
T-a80500,A-fce879,,,29,medium,74,3.0,
T-325ab2,A-f03140,,,43,medium,71,4.0,
T-cfae4d,A-fdfc91,,,44,urgent,55,4.0,
T-cc5da4,A-86cdb4,,,62,high,33,5.0,
T-387b29,A-956988,,,44,low,83,4.0,
T-86268f,A-157070,,,60,low,176,3.0,
T-ef99b1,A-eb1312,,,68,low,117,5.0,
T-89ae7a,A-503d5a,,,72,high,107,5.0,
T-7c37e5,A-8b0451,,,47,urgent,104,4.0,
T-bd64bb,A-5a92e7,,,67,urgent,172,5.0,
T-6deaa1,A-5f2961,,,53,high,19,4.0,
T-1c52db,A-8e47ca,,,46,medium,90,4.0,
T-be05b0,A-396e5f,,,29,urgent,27,4.0,
T-ffd35f,A-bb1eaa,,,58,urgent,106,4.0,
T-d15fe8,A-600734,,,67,high,88,4.0,
T-742fdb,A-fdfc91,,,23,urgent,120,3.0,
T-b45de1,A-a7bd4b,,,11,high,70,4.0,
T-0c38ce,A-bbe56f,,,27,urgent,79,4.0,
T-1f01f6,A-4bfa33,,,12,urgent,46,4.0,
T-5b2010,A-038089,,,14,medium,149,3.0,
T-2a5b2f,A-f92792,,,70,low,80,4.0,
T-a7ce4a,A-034368,,,19,high,124,4.0,
T-d6c9b1,A-a6d261,,,1,high,32,5.0,
T-8206e8,A-e43bf7,,,38,low,86,4.0,
T-fd832d,A-4ae22a,,,4,low,107,4.0,
T-3c6a06,A-c62e55,,,21,urgent,132,4.0,
T-bdc427,A-56962b,,,66,high,79,4.0,
T-d4a251,A-751bd4,,,15,urgent,127,3.0,
T-d57ae7,A-bf7919,,,17,low,110,5.0,
T-8a7eca,A-fa3095,,,68,urgent,132,5.0,
T-5df251,A-b179bf,,,52,high,139,4.0,
T-967ccc,A-acb7f7,,,50,urgent,144,4.0,
T-5bd570,A-dcc3f1,,,59,low,95,4.0,
T-9b7b66,A-13466a,,,21,high,77,5.0,
T-4b2c43,A-c4ea60,,,47,medium,83,3.0,
T-eeae26,A-0f3e88,,,60,low,104,5.0,
T-8ec963,A-bc4d48,,,43,high,133,3.0,
T-c8d035,A-bf7919,,,12,high,53,4.0,
T-686725,A-993085,,,50,medium,78,4.0,
T-926c1c,A-eb7c38,,,36,medium,119,5.0,
T-fcd24e,A-f1f639,,,22,high,27,5.0,
T-6db04f,A-ed510f,,,60,urgent,46,4.0,
T-f0e463,A-3cc791,,,70,low,75,5.0,
T-d89dd4,A-6dee43,,,41,urgent,64,5.0,
T-ad83da,A-fb186e,,,21,urgent,91,4.0,
T-c8c1c0,A-f446b6,,,14,low,25,4.0,
T-8402a1,A-1e6fc3,,,8,low,122,4.0,
T-d5bbc8,A-05d3b3,,,11,medium,19,4.0,
T-d370a4,A-fd7ad3,,,54,urgent,118,5.0,
T-fd84fa,A-08e34e,,,30,medium,170,3.0,
T-145a95,A-6f50ae,,,34,medium,144,5.0,
T-80284c,A-ce550d,,,50,urgent,64,3.0,
T-0d0582,A-ee42db,,,53,medium,5,4.0,
T-b03205,A-b9eed8,,,47,urgent,40,3.0,
T-935cb7,A-5f7781,,,51,high,21,4.0,
T-89db4e,A-31ab9a,,,63,medium,132,4.0,
T-787a34,A-396e5f,,,12,high,147,4.0,
T-c0b6ed,A-1986ca,,,55,urgent,30,3.0,
T-50b851,A-cea1f0,,,48,low,42,4.0,
T-c98c9f,A-832ec2,,,20,medium,68,4.0,
T-b5f0d3,A-016043,,,20,high,28,4.0,
T-699109,A-ced9aa,,,34,urgent,54,4.0,
T-9bde67,A-524364,,,59,high,59,4.0,
T-fcedc6,A-5a184f,,,37,high,33,4.0,
T-f7d63c,A-65a46c,,,44,urgent,4,4.0,
T-d62751,A-86cdb4,,,1,urgent,167,4.0,
T-22710d,A-1b707d,,,51,medium,53,4.0,
T-8384cf,A-d922bf,,,13,low,95,4.0,
T-05fd42,A-f45426,,,38,urgent,38,4.0,
T-37b102,A-0be015,,,24,high,133,4.0,
T-dc51a8,A-0532a9,,,27,low,6,4.0,
T-76ee80,A-fce879,,,27,urgent,49,5.0,
T-6ea0dd,A-a09355,,,4,low,87,4.0,
T-7fd978,A-22d9d2,,,10,urgent,8,4.0,
T-621fb8,A-7f8241,,,36,medium,135,3.0,
