subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag
S-9cb6a7,A-7f29a7,,,Basic,41,779,9348,,,,,monthly,
S-dabcd2,A-3ce5b8,,,Pro,28,0,0,,,,,monthly,
S-8c3cc8,A-b2225d,,,Basic,47,0,0,,,,,monthly,
S-2923fc,A-fa3095,,,Enterprise,70,13930,167160,,,,,annual,
S-f0a2e5,A-55f257,,,Basic,23,0,0,,,,,annual,
S-025bea,A-9affe6,,,Pro,17,833,9996,,,,,monthly,
S-0e499f,A-296d7c,,,Pro,16,784,9408,,,,,annual,
S-0267b7,A-65a46c,,,Enterprise,13,0,0,,,,,monthly,
S-b5b9a5,A-812c5b,,,Basic,55,1045,12540,,,,,monthly,
S-8e45ba,A-7f8241,,,Basic,34,646,7752,,,,,annual,
S-37ed34,A-d4ac0e,,,Enterprise,20,3980,47760,,,,,annual,
S-65dbf3,A-17939a,,,Basic,36,684,8208,,,,,monthly,
S-ce5450,A-0a282f,,,Pro,8,0,0,,,,,annual,
S-6c969d,A-855a48,,,Basic,14,266,3192,,,,,monthly,
S-522aef,A-f3ff05,,,Pro,4,196,2352,,,,,annual,
S-82db05,A-417d2f,,,Pro,26,1274,15288,,,,,monthly,
S-162596,A-462d45,,,Pro,18,0,0,,,,,monthly,
S-f703bd,A-202b67,,,Pro,11,539,6468,,,,,monthly,
S-a1d6ad,A-eafc6e,,,Pro,27,1323,15876,,,,,monthly,
S-8b1fc1,A-309e54,,,Basic,15,0,0,,,,,monthly,
S-09cdac,A-82861f,,,Basic,41,779,9348,,,,,annual,
S-fa5301,A-ba6516,,,Pro,55,0,0,,,,,monthly,
S-69937b,A-08e34e,,,Pro,14,686,8232,,,,,annual,
S-f2537d,A-e43bf7,,,Pro,44,2156,25872,,,,,monthly,
S-27f7b2,A-a1b80b,,,Basic,38,722,8664,,,,,annual,
S-9c2b8e,A-443f6f,,,Basic,19,361,4332,,,,,annual,
S-a4f26d,A-32728c,,,Pro,20,980,11760,,,,,monthly,
S-0cb6ed,A-ac85cd,,,Pro,53,2597,31164,,,,,annual,
S-367dee,A-e19ff6,,,Pro,1,49,588,,,,,annual,
S-3b9ad8,A-6e08f3,,,Enterprise,28,5572,66864,,,,,monthly,
S-c9f8c1,A-544d0a,,,Enterprise,5,995,11940,,,,,monthly,
S-57cd05,A-8b0451,,,Basic,41,779,9348,,,,,annual,
S-e505c1,A-8ae3fc,,,Pro,34,1666,19992,,,,,annual,
S-121b4d,A-8ae3fc,,,Basic,9,171,2052,,,,,annual,
S-72b4f2,A-4437e4,,,Pro,49,2401,28812,,,,,annual,
S-c9b0cc,A-4d1e75,,,Enterprise,38,7562,90744,,,,,monthly,
S-27c993,A-098560,,,Enterprise,4,796,9552,,,,,monthly,
S-8b9889,A-ac9111,,,Pro,21,1029,12348,,,,,monthly,
S-2214c6,A-3c1a3f,,,Pro,82,4018,48216,,,,,monthly,
S-ce695e,A-cb6cc6,,,Enterprise,13,0,0,,,,,annual,
S-066d80,A-9b9fe9,,,Pro,5,245,2940,,,,,monthly,
S-228457,A-029f69,,,Enterprise,24,4776,57312,,,,,annual,
S-e50612,A-c7e58b,,,Basic,13,247,2964,,,,,annual,
S-64fba3,A-00bed1,,,Enterprise,28,5572,66864,,,,,annual,
S-2372d2,A-cea1f0,,,Enterprise,21,4179,50148,,,,,annual,
S-2661dc,A-c37cab,,,Pro,20,0,0,,,,,monthly,
S-427275,A-4c38bc,,,Enterprise,36,7164,85968,,,,,annual,
S-628729,A-157070,,,Enterprise,23,4577,54924,,,,,monthly,
S-e260ff,A-bcf87c,,,Enterprise,21,4179,50148,,,,,annual,
S-89c03a,A-8ae3fc,,,Pro,9,441,5292,,,,,monthly,
S-86455a,A-1b9609,,,Pro,12,588,7056,,,,,monthly,
S-3660bb,A-474ad4,,,Enterprise,10,0,0,,,,,monthly,
S-6bf7d7,A-9bfc9f,,,Pro,53,2597,31164,,,,,annual,
S-feccd8,A-812c5b,,,Enterprise,55,10945,131340,,,,,monthly,
S-0e4b0c,A-39b19f,,,Pro,24,1176,14112,,,,,annual,
S-0e0578,A-de58ca,,,Basic,15,285,3420,,,,,monthly,
S-74538d,A-e60f9d,,,Pro,46,2254,27048,,,,,annual,
S-c2a6cb,A-9affe6,,,Enterprise,7,1393,16716,,,,,annual,
S-1bd2ec,A-e60f9d,,,Basic,38,722,8664,,,,,annual,
S-3cc352,A-d27f50,,,Pro,44,2156,25872,,,,,monthly,
S-124207,A-fdfc91,,,Basic,29,551,6612,,,,,annual,
S-76e7d9,A-712f1c,,,Enterprise,44,8756,105072,,,,,monthly,
S-44f453,A-19b2c8,,,Enterprise,20,3980,47760,,,,,monthly,
S-03a97f,A-f51f16,,,Pro,60,2940,35280,,,,,annual,
S-80c01c,A-d3c88e,,,Basic,16,304,3648,,,,,annual,
S-666181,A-eb1312,,,Basic,71,1349,16188,,,,,annual,
S-401496,A-68f37c,,,Enterprise,4,796,9552,,,,,monthly,
S-ca0c98,A-fda07f,,,Pro,7,343,4116,,,,,monthly,
S-017e33,A-f9cc74,,,Basic,53,1007,12084,,,,,monthly,
S-183073,A-e7a1e2,,,Enterprise,14,2786,33432,,,,,monthly,
S-22f503,A-7a0d69,,,Basic,6,114,1368,,,,,annual,
S-7de1b7,A-4d1e75,,,Enterprise,20,3980,47760,,,,,annual,
S-c7f564,A-902ef7,,,Pro,83,0,0,,,,,annual,
S-ceffe9,A-89ee83,,,Enterprise,2,398,4776,,,,,monthly,
S-9b2c95,A-e60f9d,,,Pro,29,0,0,,,,,annual,
S-cf6ec1,A-d77f4c,,,Enterprise,22,4378,52536,,,,,monthly,
S-a44d72,A-b30291,,,Pro,18,882,10584,,,,,monthly,
S-0b0ffa,A-180abf,,,Basic,64,0,0,,,,,annual,
S-02af5d,A-d82ef9,,,Enterprise,26,0,0,,,,,annual,
S-d07c53,A-249769,,,Basic,21,399,4788,,,,,annual,
S-c67b80,A-eb2fdc,,,Pro,31,1519,18228,,,,,monthly,
S-5d68fb,A-5f2961,,,Pro,49,2401,28812,,,,,annual,
S-fc9cc3,A-9b9fe9,,,Pro,24,1176,14112,,,,,annual,
S-17f71d,A-e40f45,,,Pro,44,2156,25872,,,,,monthly,
S-5895f0,A-bcf664,,,Basic,8,0,0,,,,,annual,
S-b042d9,A-0e966d,,,Enterprise,11,2189,26268,,,,,annual,
S-ffd1ee,A-f03140,,,Pro,27,0,0,,,,,annual,
S-9c4bcd,A-a7bd4b,,,Pro,5,245,2940,,,,,monthly,
S-4f91d0,A-7f8241,,,Basic,34,646,7752,,,,,monthly,
S-672f1b,A-eafc6e,,,Pro,27,1323,15876,,,,,monthly,
S-101201,A-d49cc5,,,Basic,50,950,11400,,,,,annual,
S-eea643,A-54ecc2,,,Enterprise,28,5572,66864,,,,,monthly,
S-5f9a67,A-6da850,,,Pro,5,245,2940,,,,,annual,
S-327e7c,A-4e960a,,,Enterprise,17,0,0,,,,,annual,
S-d97c5f,A-533452,,,Pro,101,4949,59388,,,,,monthly,
S-029c20,A-f44180,,,Basic,10,0,0,,,,,annual,
S-a74462,A-7c83a1,,,Pro,48,2352,28224,,,,,annual,
S-02ec76,A-e60f9d,,,Pro,29,1421,17052,,,,,monthly,
S-d1c9e3,A-075038,,,Basic,17,323,3876,,,,,annual,
S-51d8db,A-cc1d8d,,,Enterprise,6,1194,14328,,,,,annual,
S-c3c85e,A-271f46,,,Basic,38,722,8664,,,,,monthly,
S-44a646,A-1e1b80,,,Basic,50,950,11400,,,,,annual,
S-431c03,A-e4bf56,,,Enterprise,37,7363,88356,,,,,monthly,
S-4f0027,A-ff79f2,,,Enterprise,19,3781,45372,,,,,annual,
S-6c9ee1,A-6da850,,,Enterprise,23,0,0,,,,,monthly,
S-396a84,A-5b4ebb,,,Basic,21,399,4788,,,,,monthly,
S-6bea24,A-3f9cc0,,,Basic,22,0,0,,,,,monthly,
S-259804,A-d4ac0e,,,Basic,28,532,6384,,,,,annual,
S-33e40e,A-86cdb4,,,Enterprise,2,398,4776,,,,,annual,
S-fbd522,A-310452,,,Pro,9,0,0,,,,,annual,
S-bbafad,A-854864,,,Basic,20,380,4560,,,,,annual,
S-3edc14,A-d82ef9,,,Pro,26,0,0,,,,,annual,
S-11e29d,A-71615e,,,Basic,32,608,7296,,,,,monthly,
S-1feff8,A-5fe118,,,Enterprise,39,7761,93132,,,,,annual,
S-61e86c,A-39ddf4,,,Enterprise,40,7960,95520,,,,,annual,
S-af41f0,A-e83938,,,Basic,2,38,456,,,,,annual,
S-65ae02,A-671f31,,,Pro,59,2891,34692,,,,,annual,
S-f7fccd,A-443b7c,,,Basic,6,0,0,,,,,annual,
S-7904d3,A-d4e0d4,,,Enterprise,117,23283,279396,,,,,monthly,
S-48a54e,A-b2225d,,,Basic,47,0,0,,,,,monthly,
S-4a08bd,A-e08cd3,,,Pro,67,3283,39396,,,,,annual,
S-faa8ec,A-2e4581,,,Basic,11,209,2508,,,,,monthly,
S-8db104,A-4a267b,,,Pro,25,1225,14700,,,,,monthly,
S-3c0121,A-7c83a1,,,Pro,24,1176,14112,,,,,monthly,
S-13ca37,A-6843f2,,,Pro,21,0,0,,,,,monthly,
S-163e64,A-dfbd31,,,Enterprise,62,12338,148056,,,,,monthly,
S-4d1ba6,A-00cac8,,,Enterprise,9,0,0,,,,,annual,
S-e98d6b,A-309e54,,,Basic,15,285,3420,,,,,annual,
S-041624,A-6843f2,,,Enterprise,21,4179,50148,,,,,monthly,
S-b78829,A-2e4581,,,Pro,20,980,11760,,,,,monthly,
S-ca1c21,A-f92792,,,Basic,9,0,0,,,,,annual,
S-e1de58,A-ce550d,,,Enterprise,35,6965,83580,,,,,annual,
S-721fea,A-f6b2fb,,,Pro,23,1127,13524,,,,,monthly,
S-eaac58,A-ff3c73,,,Basic,66,1254,15048,,,,,annual,
S-1218fd,A-2d4502,,,Basic,14,266,3192,,,,,monthly,
S-936732,A-2f6a32,,,Pro,19,931,11172,,,,,annual,
S-c2f293,A-69b156,,,Basic,8,152,1824,,,,,monthly,
S-fe3b71,A-44dc83,,,Enterprise,37,0,0,,,,,monthly,
S-f5f5b3,A-89ee83,,,Basic,10,190,2280,,,,,annual,
S-4afb53,A-40de06,,,Enterprise,28,5572,66864,,,,,monthly,
S-851bbe,A-d77f4c,,,Enterprise,94,18706,224472,,,,,annual,
S-dab0d5,A-cc1d8d,,,Basic,5,0,0,,,,,monthly,
S-9aa190,A-9b9fe9,,,Basic,33,627,7524,,,,,annual,
S-f89d8c,A-88c6ca,,,Pro,49,2401,28812,,,,,monthly,
S-766a62,A-1ac5e0,,,Enterprise,33,0,0,,,,,monthly,
S-10134d,A-52dd88,,,Enterprise,23,4577,54924,,,,,annual,
S-85de7a,A-940b8b,,,Enterprise,32,6368,76416,,,,,annual,
S-85796b,A-f19409,,,Enterprise,23,4577,54924,,,,,monthly,
S-c97464,A-f5641b,,,Pro,38,1862,22344,,,,,monthly,
S-6732ff,A-9affe6,,,Pro,24,1176,14112,,,,,annual,
S-aa20eb,A-6f8ad2,,,Pro,1,49,588,,,,,monthly,
S-b6aabe,A-902ef7,,,Basic,83,1577,18924,,,,,annual,
S-0ff339,A-6dee43,,,Basic,12,228,2736,,,,,annual,
S-4d664d,A-cc1d8d,,,Pro,16,784,9408,,,,,annual,
S-8deb5f,A-533452,,,Basic,52,988,11856,,,,,annual,
S-e2d4e9,A-18793f,,,Basic,148,0,0,,,,,monthly,
S-d8441d,A-8adedc,,,Basic,4,76,912,,,,,annual,
S-6d356a,A-425e76,,,Basic,28,532,6384,,,,,annual,
S-c005ac,A-92a3af,,,Enterprise,25,4975,59700,,,,,annual,
S-d0913e,A-eb2fdc,,,Pro,31,1519,18228,,,,,monthly,
S-4bef15,A-600734,,,Enterprise,29,0,0,,,,,annual,
S-2573e4,A-7f8241,,,Basic,60,1140,13680,,,,,monthly,
S-80c291,A-712533,,,Enterprise,18,3582,42984,,,,,annual,
S-64acb8,A-3be56b,,,Enterprise,30,5970,71640,,,,,monthly,
S-13a948,A-d5a319,,,Enterprise,15,2985,35820,,,,,monthly,
S-081b81,A-b20d99,,,Basic,20,380,4560,,,,,annual,
S-68c537,A-9ee962,,,Enterprise,29,5771,69252,,,,,monthly,
S-3f82bc,A-d5a319,,,Basic,15,0,0,,,,,monthly,
S-fe6311,A-5c9849,,,Enterprise,19,0,0,,,,,monthly,
S-b3c4b8,A-c43359,,,Pro,38,0,0,,,,,annual,
S-8923b3,A-157070,,,Basic,27,513,6156,,,,,annual,
S-2410c6,A-5247b3,,,Basic,33,627,7524,,,,,annual,
S-7a06fe,A-5a92e7,,,Pro,28,1372,16464,,,,,monthly,
S-ceaca8,A-96e141,,,Enterprise,24,4776,57312,,,,,monthly,
S-02c3e7,A-7c4956,,,Enterprise,6,1194,14328,,,,,annual,
S-3a1a06,A-eb7fac,,,Enterprise,14,2786,33432,,,,,monthly,
S-7f5d03,A-22d9d2,,,Pro,25,1225,14700,,,,,monthly,
S-c10f0c,A-0f7d77,,,Basic,6,114,1368,,,,,monthly,
S-cdd00a,A-4e44e8,,,Basic,38,722,8664,,,,,monthly,
S-d57a67,A-2446e3,,,Pro,27,1323,15876,,,,,monthly,
S-f75ac4,A-faa28c,,,Enterprise,48,0,0,,,,,annual,
S-76c59f,A-0aaf6e,,,Basic,24,456,5472,,,,,annual,
S-0a15fa,A-bb1eaa,,,Pro,25,1225,14700,,,,,annual,
S-d0f5fb,A-39868b,,,Enterprise,9,1791,21492,,,,,annual,
S-ffb6cc,A-94d3da,,,Enterprise,41,8159,97908,,,,,monthly,
S-1b8300,A-faa28c,,,Enterprise,48,0,0,,,,,monthly,
S-88de1c,A-18793f,,,Basic,148,2812,33744,,,,,annual,
S-a88ffd,A-cc102e,,,Pro,13,637,7644,,,,,annual,
S-f12a54,A-f3ff05,,,Pro,2,98,1176,,,,,monthly,
S-f9b284,A-22d9d2,,,Pro,8,392,4704,,,,,annual,
S-61e53d,A-d42431,,,Basic,22,418,5016,,,,,annual,
S-4c5456,A-149a69,,,Basic,34,646,7752,,,,,monthly,
S-b15cde,A-ee42db,,,Pro,13,637,7644,,,,,monthly,
S-9e6a18,A-7d514c,,,Pro,21,1029,12348,,,,,monthly,
S-0b2ac3,A-d792a6,,,Basic,7,0,0,,,,,annual,
S-cb8a5c,A-1e6fc3,,,Enterprise,1,199,2388,,,,,annual,
S-8b52b5,A-c1dfe1,,,Enterprise,26,5174,62088,,,,,monthly,
S-79b2bc,A-249769,,,Basic,4,76,912,,,,,monthly,
S-4fd9ba,A-d4ac0e,,,Basic,24,456,5472,,,,,monthly,
S-163e9d,A-ccabf0,,,Enterprise,11,2189,26268,,,,,annual,
S-8324d4,A-5a215a,,,Pro,87,0,0,,,,,monthly,
S-22f848,A-993085,,,Enterprise,49,9751,117012,,,,,annual,
S-b32512,A-854864,,,Enterprise,20,3980,47760,,,,,monthly,
S-98ac99,A-8ed5dd,,,Basic,5,95,1140,,,,,annual,
S-93fab3,A-9f9299,,,Pro,28,1372,16464,,,,,annual,
S-838330,A-5a215a,,,Pro,87,0,0,,,,,annual,
S-720d62,A-c16101,,,Basic,53,1007,12084,,,,,monthly,
S-e2500e,A-5b4ebb,,,Basic,21,0,0,,,,,monthly,
S-2c091a,A-32728c,,,Pro,20,980,11760,,,,,annual,
S-55d53c,A-2f6a32,,,Basic,19,361,4332,,,,,annual,
S-df2fb8,A-0e966d,,,Pro,55,0,0,,,,,annual,
S-24ae40,A-328bd0,,,Basic,18,342,4104,,,,,monthly,
S-bdd4c5,A-5a92e7,,,Pro,28,1372,16464,,,,,monthly,
S-2196c4,A-425e76,,,Basic,8,152,1824,,,,,monthly,
S-9626f8,A-d4ac0e,,,Pro,18,882,10584,,,,,annual,
S-03340d,A-4ef964,,,Enterprise,17,3383,40596,,,,,annual,
S-ae1882,A-9f9299,,,Basic,61,1159,13908,,,,,monthly,
S-1cdd2c,A-ac9111,,,Pro,21,1029,12348,,,,,monthly,
S-6b7aa4,A-c37601,,,Basic,22,418,5016,,,,,monthly,
S-dfe952,A-e351e1,,,Basic,33,627,7524,,,,,monthly,
S-763384,A-526d93,,,Pro,43,0,0,,,,,annual,
S-3e6a40,A-94c3cd,,,Enterprise,32,0,0,,,,,monthly,
S-5fffe8,A-4e631b,,,Basic,22,418,5016,,,,,monthly,
S-e51242,A-8145a0,,,Enterprise,9,1791,21492,,,,,annual,
S-ae3270,A-fdfc91,,,Basic,29,551,6612,,,,,annual,
S-808668,A-e351e1,,,Pro,33,1617,19404,,,,,monthly,
S-388f70,A-40a557,,,Pro,18,0,0,,,,,annual,
S-b84a07,A-7c4956,,,Pro,9,441,5292,,,,,annual,
S-a24476,A-91e948,,,Basic,41,0,0,,,,,monthly,
S-ff78bf,A-50f3f7,,,Pro,31,0,0,,,,,monthly,
S-695c1e,A-ce66f8,,,Enterprise,37,7363,88356,,,,,monthly,
S-f97609,A-712f1c,,,Pro,38,1862,22344,,,,,annual,
S-fee60b,A-4a267b,,,Pro,46,2254,27048,,,,,monthly,
S-3cc163,A-df10db,,,Basic,68,0,0,,,,,annual,
S-534c28,A-e888d1,,,Basic,14,266,3192,,,,,monthly,
S-e1d553,A-692f18,,,Pro,9,0,0,,,,,annual,
S-358daa,A-39b19f,,,Enterprise,24,0,0,,,,,annual,
S-ff2761,A-0cc442,,,Basic,45,855,10260,,,,,monthly,
S-b6d200,A-d27f50,,,Basic,44,836,10032,,,,,monthly,
S-518472,A-e7beab,,,Pro,19,931,11172,,,,,monthly,
S-682d28,A-fdfc91,,,Enterprise,47,9353,112236,,,,,annual,
S-0a2238,A-c7ffc2,,,Basic,30,570,6840,,,,,monthly,
S-6e4c1a,A-94f8c9,,,Enterprise,13,2587,31044,,,,,monthly,
S-7564e1,A-313be3,,,Enterprise,47,0,0,,,,,monthly,
S-41023c,A-49b828,,,Enterprise,31,6169,74028,,,,,annual,
S-6e0006,A-5b051a,,,Basic,22,418,5016,,,,,monthly,
S-7e1791,A-a6d261,,,Enterprise,9,1791,21492,,,,,annual,
S-1109d6,A-a2485e,,,Enterprise,3,597,7164,,,,,annual,
S-b35203,A-ac85cd,,,Enterprise,53,10547,126564,,,,,monthly,
S-ef4ad8,A-bcf87c,,,Pro,10,490,5880,,,,,annual,
S-2dad6b,A-104f1a,,,Basic,34,646,7752,,,,,monthly,
S-4c100f,A-eb7fac,,,Enterprise,136,27064,324768,,,,,monthly,
S-17cfc4,A-592832,,,Pro,18,0,0,,,,,monthly,
S-c317f9,A-86902e,,,Basic,34,646,7752,,,,,annual,
S-3311b1,A-7cfe77,,,Pro,69,3381,40572,,,,,monthly,
S-26e8f0,A-d40bf7,,,Enterprise,59,11741,140892,,,,,monthly,
S-807d87,A-69b156,,,Enterprise,28,5572,66864,,,,,annual,
S-c4aa5f,A-ccb686,,,Pro,52,2548,30576,,,,,annual,
S-86c28f,A-8adedc,,,Pro,79,3871,46452,,,,,annual,
S-d635a2,A-ff79f2,,,Basic,12,228,2736,,,,,annual,
S-463525,A-016043,,,Enterprise,13,2587,31044,,,,,annual,
S-b2238e,A-104f1a,,,Basic,24,456,5472,,,,,monthly,
S-d01053,A-779e4e,,,Enterprise,36,7164,85968,,,,,annual,
S-b9bbfd,A-118d55,,,Enterprise,36,7164,85968,,,,,monthly,
S-790762,A-ac85cd,,,Pro,53,2597,31164,,,,,monthly,
S-321498,A-3a7284,,,Pro,31,0,0,,,,,monthly,
S-8cf2ef,A-600734,,,Basic,42,798,9576,,,,,annual,
S-48aa95,A-a8b49c,,,Enterprise,7,1393,16716,,,,,monthly,
S-42218c,A-e2cd1b,,,Pro,45,2205,26460,,,,,monthly,
S-e6e96f,A-cbd1a3,,,Enterprise,8,0,0,,,,,annual,
S-627cfa,A-9bfc9f,,,Pro,53,2597,31164,,,,,monthly,
S-47a04b,A-b54c01,,,Pro,29,0,0,,,,,annual,
S-2a6eb3,A-80eeb6,,,Enterprise,68,13532,162384,,,,,monthly,
S-c5f3d4,A-9f2731,,,Pro,5,0,0,,,,,annual,
S-c3bf1d,A-55f257,,,Pro,9,441,5292,,,,,annual,
S-a82441,A-4a267b,,,Pro,25,1225,14700,,,,,annual,
S-ccdf41,A-94f8c9,,,Enterprise,17,3383,40596,,,,,monthly,
S-3503cb,A-c43359,,,Basic,38,722,8664,,,,,monthly,
S-ed32c7,A-37f969,,,Pro,30,1470,17640,,,,,annual,
S-64bd69,A-ac9111,,,Basic,21,399,4788,,,,,annual,
S-abd244,A-66224b,,,Basic,92,1748,20976,,,,,monthly,
S-1e83a6,A-443b7c,,,Basic,8,152,1824,,,,,annual,
S-e86a94,A-443f6f,,,Pro,19,931,11172,,,,,monthly,
S-2480b0,A-6e08f3,,,Basic,13,247,2964,,,,,annual,
S-095083,A-98a59a,,,Basic,56,1064,12768,,,,,annual,
S-07abdd,A-f19409,,,Pro,34,1666,19992,,,,,annual,
S-c29f3a,A-b7b7b7,,,Pro,24,1176,14112,,,,,monthly,
S-b4ac47,A-3b5cd1,,,Pro,31,1519,18228,,,,,annual,
S-2e017b,A-432483,,,Pro,5,245,2940,,,,,annual,
S-c64e87,A-f3ff05,,,Enterprise,27,5373,64476,,,,,annual,
S-c24467,A-e888d1,,,Basic,50,0,0,,,,,monthly,
S-f7b0e0,A-66224b,,,Basic,92,1748,20976,,,,,annual,
S-edeacd,A-59f724,,,Pro,18,882,10584,,,,,annual,
S-3d6b69,A-2446e3,,,Enterprise,27,5373,64476,,,,,annual,
S-63e282,A-6a4e2d,,,Pro,14,686,8232,,,,,annual,
S-ef2a21,A-427b69,,,Pro,36,1764,21168,,,,,annual,
S-e052d8,A-4e44e8,,,Pro,25,0,0,,,,,annual,
S-2d51ca,A-96e141,,,Pro,32,1568,18816,,,,,monthly,
S-0921a1,A-ee42db,,,Basic,22,418,5016,,,,,annual,
S-62c98f,A-5a92e7,,,Pro,35,1715,20580,,,,,monthly,
S-1cff77,A-5a3eb9,,,Pro,65,3185,38220,,,,,annual,
S-3a28a1,A-b9f5b1,,,Enterprise,15,2985,35820,,,,,annual,
S-42aaf0,A-6da850,,,Basic,6,114,1368,,,,,annual,
S-d02277,A-05f0e5,,,Enterprise,92,18308,219696,,,,,monthly,
S-72b92f,A-bd4708,,,Enterprise,37,7363,88356,,,,,monthly,
S-15609d,A-94d3da,,,Basic,41,0,0,,,,,monthly,
S-6d12c1,A-d26ab4,,,Basic,11,209,2508,,,,,monthly,
S-1bf267,A-c42f1f,,,Basic,28,532,6384,,,,,annual,
S-2d4edf,A-69fad4,,,Enterprise,6,1194,14328,,,,,annual,
S-050a91,A-d27f50,,,Basic,45,855,10260,,,,,annual,
