churn_event_id,account_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text
C-47cdaa,A-9affe6,,features,83.06,,,,missing features
C-ac853d,A-0354fe,,support,0.0,,,,switched to competitor
C-a24d30,A-f1f639,,budget,0.0,,,,No feedback
C-23a031,A-5247b3,,pricing,0.0,,,,No feedback
C-178070,A-337bc1,,support,0.0,,,,too expensive
C-70de89,A-039727,,pricing,46.49,,,,switched to competitor
C-49de12,A-5c9849,,unknown,0.0,,,,too expensive
C-97ab4b,A-82d8a6,,features,0.0,,,,switched to competitor
C-23df1e,A-18793f,,support,25.41,,,,No feedback
C-1b0bb3,A-81edc3,,pricing,10.91,,,,too expensive
C-48c0c8,A-53f4e3,,competitor,0.0,,,,too expensive
C-eaa652,A-1619f8,,competitor,0.0,,,,missing features
C-75e17f,A-ed510f,,budget,0.0,,,,too expensive
C-3dbe46,A-76fa4d,,unknown,1.55,,,,too expensive
C-4d517f,A-13466a,,support,0.0,,,,switched to competitor
C-50dbff,A-31ab9a,,budget,0.0,,,,switched to competitor
C-2d03fc,A-e43bf7,,pricing,0.0,,,,missing features
C-8bf15d,A-20736a,,competitor,64.98,,,,too expensive
C-c6998d,A-956988,,budget,0.0,,,,missing features
C-f8d15f,A-c9bb3e,,unknown,0.0,,,,No feedback
C-8eba65,A-dcc3f1,,features,0.0,,,,switched to competitor
C-a1253e,A-462d45,,competitor,0.0,,,,missing features
C-1e4b49,A-e5d6ab,,features,0.0,,,,switched to competitor
C-354790,A-37f969,,pricing,0.0,,,,missing features
C-b5bb09,A-0a62f5,,pricing,90.9,,,,switched to competitor
C-eb8f3d,A-0be015,,unknown,74.68,,,,too expensive
C-76793b,A-e888d1,,support,0.0,,,,missing features
C-033d73,A-ffc04f,,unknown,0.0,,,,No feedback
C-2b7d9b,A-180abf,,support,0.0,,,,No feedback
C-6e6bcf,A-7c6b6b,,budget,0.0,,,,too expensive
C-e26b7f,A-781cc0,,budget,0.0,,,,too expensive
C-626a5c,A-e19ff6,,unknown,0.0,,,,missing features
C-fd2fe4,A-78f02b,,budget,0.0,,,,too expensive
C-049f10,A-271f46,,support,0.0,,,,No feedback
C-57871b,A-6a4e2d,,budget,0.0,,,,No feedback
C-fafb31,A-5a92e7,,features,0.0,,,,missing features
C-8a3bc6,A-3b37d9,,support,0.0,,,,switched to competitor
C-8f9053,A-c1e51e,,pricing,0.0,,,,missing features
C-7690f5,A-4c56c9,,budget,44.23,,,,missing features
C-fb91f8,A-96bbc6,,competitor,0.0,,,,No feedback
C-02604c,A-9208f0,,features,0.0,,,,too expensive
C-85e84b,A-4814a3,,pricing,0.0,,,,too expensive
C-df72bb,A-dcc2f0,,features,0.0,,,,No feedback
C-a41660,A-3cc791,,features,0.0,,,,No feedback
C-3e764b,A-d792a6,,competitor,0.0,,,,too expensive
C-f46a9e,A-6e7827,,features,0.0,,,,missing features
C-864f6f,A-e19ff6,,pricing,0.0,,,,switched to competitor
C-2cec1c,A-712f1c,,budget,68.99,,,,No feedback
C-bc2761,A-68f37c,,competitor,0.0,,,,too expensive
C-c82861,A-e351e1,,budget,0.0,,,,switched to competitor
C-7e1bbd,A-0a62f5,,budget,0.0,,,,switched to competitor
C-6cbc28,A-09316c,,unknown,0.0,,,,switched to competitor
C-13f833,A-4d1e75,,budget,0.0,,,,missing features
C-499165,A-8ae3fc,,budget,0.0,,,,No feedback
C-5d5768,A-bb1eaa,,pricing,0.0,,,,too expensive
C-8ab44a,A-c58f49,,competitor,0.0,,,,too expensive
C-575802,A-67be94,,competitor,13.72,,,,too expensive
C-b38b8a,A-cdf020,,budget,105.26,,,,too expensive
C-e601dc,A-aa9511,,competitor,0.0,,,,No feedback
C-bc805f,A-50bb9f,,unknown,0.0,,,,too expensive
C-8d2bf5,A-b9eed8,,pricing,0.0,,,,switched to competitor
C-ae25d5,A-149a69,,pricing,0.0,,,,No feedback
C-d20b00,A-4ef964,,budget,0.0,,,,too expensive
C-0baa74,A-558c72,,support,43.01,,,,switched to competitor
C-7762fe,A-54ecc2,,unknown,0.0,,,,missing features
C-70ab02,A-3b5cd1,,pricing,0.0,,,,missing features
C-4c2a9f,A-ff3c73,,competitor,0.0,,,,missing features
C-5b6094,A-296d7c,,budget,0.0,,,,too expensive
C-c5e093,A-c16101,,features,0.0,,,,too expensive
C-94eebe,A-9779ad,,unknown,0.0,,,,switched to competitor
C-65ad11,A-39ddf4,,support,0.0,,,,No feedback
C-ebc01c,A-bd4513,,features,0.0,,,,switched to competitor
C-ae15f4,A-3793ee,,unknown,0.0,,,,No feedback
C-26576c,A-dbc825,,features,0.0,,,,too expensive
C-f6fba0,A-f92792,,features,0.0,,,,No feedback
C-cfa54b,A-eb7c38,,budget,6.26,,,,No feedback
C-260dec,A-202b67,,pricing,9.28,,,,No feedback
C-947b6b,A-5a3eb9,,pricing,0.0,,,,missing features
C-0af764,A-ccabf0,,competitor,0.0,,,,too expensive
C-e91da6,A-2d4502,,pricing,0.0,,,,No feedback
C-2d8e22,A-fce879,,support,0.0,,,,switched to competitor
C-47694c,A-0cc442,,budget,59.52,,,,No feedback
C-b6549a,A-151c9a,,support,35.6,,,,missing features
C-258ade,A-5f2961,,pricing,6.6,,,,switched to competitor
C-8eda06,A-a865bd,,unknown,0.0,,,,No feedback
C-07be44,A-751c58,,budget,0.0,,,,missing features
C-62daa0,A-b2225d,,pricing,0.0,,,,too expensive
C-7d6220,A-2edab2,,features,0.0,,,,too expensive
C-a65f7c,A-098560,,support,34.35,,,,too expensive
C-02a354,A-ccb686,,competitor,25.92,,,,No feedback
C-5f43c3,A-db5e9e,,pricing,0.0,,,,missing features
C-36a955,A-96bbc6,,competitor,0.0,,,,switched to competitor
C-7074f9,A-dcc3f1,,support,0.0,,,,too expensive
C-7befdc,A-9779ad,,features,0.0,,,,too expensive
C-a72f7f,A-158f4e,,budget,0.0,,,,switched to competitor
C-065699,A-c16cf7,,support,0.0,,,,too expensive
C-17044c,A-bcf664,,features,75.32,,,,too expensive
C-d716da,A-96bbc6,,budget,125.6,,,,missing features
C-dd2ad2,A-30b4ca,,features,0.0,,,,No feedback
C-2c410a,A-712426,,features,0.0,,,,missing features
C-5f93ed,A-337bc1,,unknown,0.0,,,,missing features
C-f79e5e,A-7dacce,,unknown,0.0,,,,switched to competitor
C-c9b84b,A-158f4e,,features,0.0,,,,No feedback
C-aee993,A-1d5444,,support,0.0,,,,too expensive
C-cc8de6,A-526d93,,support,0.0,,,,missing features
C-f1773a,A-68f37c,,support,0.0,,,,switched to competitor
C-fe3853,A-f51f16,,competitor,0.0,,,,too expensive
C-770066,A-84ebe4,,budget,0.0,,,,switched to competitor
C-449318,A-5a184f,,features,0.0,,,,too expensive
C-e2ecb7,A-e7a1e2,,features,0.0,,,,No feedback
C-211191,A-781cc0,,support,0.0,,,,No feedback
C-55f4ec,A-0cc442,,pricing,0.0,,,,too expensive
C-695fcd,A-2e4581,,budget,0.0,,,,switched to competitor
C-921335,A-659280,,features,0.0,,,,too expensive
C-9776b7,A-40a557,,budget,0.0,,,,switched to competitor
C-b3d895,A-0a62f5,,support,43.6,,,,too expensive
C-1965c1,A-9f9299,,competitor,0.0,,,,No feedback
C-0ec68d,A-e83938,,features,0.0,,,,too expensive
C-08d3b3,A-3f9cc0,,budget,0.0,,,,switched to competitor
C-466a70,A-ee42db,,pricing,0.0,,,,too expensive
C-02f4fa,A-ae052e,,unknown,0.0,,,,too expensive
C-ac34ca,A-ab438f,,budget,0.0,,,,No feedback
C-92f5cb,A-90a8c8,,support,0.0,,,,missing features
C-08b126,A-0cc442,,budget,0.0,,,,too expensive
C-9cc7a5,A-8e47ca,,competitor,0.0,,,,too expensive
C-c5b2e8,A-c608c8,,support,0.0,,,,too expensive
C-be8018,A-684255,,unknown,0.0,,,,too expensive
C-23ca8f,A-d77f4c,,unknown,0.0,,,,No feedback
C-2d0569,A-c7ffc2,,features,174.92,,,,missing features
C-4c523f,A-05d3b3,,unknown,0.0,,,,switched to competitor
C-57a768,A-702032,,features,10.5,,,,switched to competitor
C-573a5c,A-dec005,,support,0.0,,,,missing features
C-b7dfcd,A-726cfa,,support,122.11,,,,too expensive
C-8c9a9a,A-9f0b68,,features,0.0,,,,too expensive
C-2ce12e,A-712426,,pricing,0.0,,,,No feedback
C-18b303,A-7641d3,,unknown,96.35,,,,missing features
C-b6bc5f,A-bb1486,,competitor,0.0,,,,switched to competitor
C-8cce4c,A-fa3095,,support,0.0,,,,missing features
C-8fcdf5,A-310452,,budget,0.0,,,,too expensive
C-ddade1,A-463db0,,features,0.0,,,,No feedback
C-5689de,A-00bed1,,unknown,21.17,,,,No feedback
C-2f61e8,A-ad3abd,,competitor,0.0,,,,No feedback
C-4dc992,A-39b19f,,unknown,0.0,,,,No feedback
C-17fb24,A-cc1d8d,,unknown,217.22,,,,too expensive
C-21efb6,A-fa2041,,competitor,0.0,,,,switched to competitor
C-486194,A-2ebb4b,,features,0.0,,,,missing features
C-3091b6,A-eb1312,,unknown,0.0,,,,No feedback
C-b37401,A-dfbd31,,unknown,0.0,,,,too expensive
C-c93006,A-4e0e85,,competitor,0.0,,,,too expensive
C-cea92d,A-2e4581,,competitor,0.0,,,,No feedback
C-f7846a,A-117171,,budget,0.0,,,,switched to competitor
C-f5a863,A-e7a1e2,,budget,6.2,,,,No feedback
C-056c32,A-1e6fc3,,pricing,0.0,,,,switched to competitor
C-75abb3,A-ac9111,,budget,0.0,,,,missing features
C-17377e,A-ee42db,,pricing,0.0,,,,missing features
C-d84a6d,A-a45270,,pricing,0.0,,,,missing features
C-66b3fa,A-378b99,,pricing,0.0,,,,switched to competitor
C-600a7c,A-9ee962,,support,0.0,,,,No feedback
C-7aa94d,A-038089,,features,19.34,,,,too expensive
C-c6a403,A-684255,,budget,0.0,,,,missing features
C-d3e2ab,A-f1f639,,competitor,0.0,,,,missing features
C-b3c3ce,A-9f2731,,features,0.0,,,,No feedback
C-d7de9d,A-8b0451,,budget,0.0,,,,too expensive
C-2447b3,A-c45b23,,support,0.0,,,,missing features
C-155feb,A-82861f,,support,0.0,,,,No feedback
C-5f450a,A-c1e51e,,support,0.0,,,,switched to competitor
C-721738,A-d42431,,pricing,0.0,,,,missing features
C-33fc6a,A-c16101,,features,0.0,,,,No feedback
C-4691eb,A-7c83a1,,unknown,0.0,,,,No feedback
C-2cec7e,A-ce550d,,budget,0.0,,,,too expensive
C-71ff03,A-f19409,,features,0.0,,,,too expensive
C-2a64c7,A-029f69,,budget,0.0,,,,No feedback
C-5899b9,A-484819,,support,0.0,,,,No feedback
C-7e5a22,A-6965e1,,features,0.0,,,,No feedback
C-c3815e,A-6965e1,,unknown,0.0,,,,switched to competitor
C-190a42,A-5fe118,,features,114.86,,,,No feedback
C-d2077d,A-cab532,,support,0.0,,,,too expensive
C-3b6b00,A-9289f6,,support,17.93,,,,too expensive
C-42ca6e,A-1b9609,,pricing,0.0,,,,too expensive
C-d9a1f3,A-118f1c,,budget,0.0,,,,No feedback
C-217360,A-76fa4d,,pricing,31.49,,,,too expensive
C-aa3075,A-7dacce,,budget,0.0,,,,missing features
C-3f2f59,A-a8b49c,,features,0.0,,,,missing features
C-4f6e40,A-cb5333,,features,0.0,,,,too expensive
C-2f95dd,A-f19409,,competitor,0.0,,,,switched to competitor
C-38b77f,A-a8d89d,,features,0.0,,,,switched to competitor
C-58deed,A-81edc3,,support,0.0,,,,too expensive
C-86f8a6,A-ccc747,,budget,0.0,,,,switched to competitor
C-5d91cd,A-3f9cc0,,features,0.0,,,,No feedback
C-bfcee5,A-8e47ca,,support,0.0,,,,missing features
C-450414,A-87aa7b,,budget,0.0,,,,switched to competitor
C-dd4207,A-f45426,,competitor,47.17,,,,missing features
C-d4c4c6,A-09540c,,unknown,71.44,,,,No feedback
C-149fc9,A-e1462e,,competitor,0.0,,,,switched to competitor
C-de3fd0,A-19b2c8,,pricing,0.0,,,,missing features
C-577ffa,A-10b8f2,,support,0.0,,,,too expensive
C-a77075,A-32728c,,pricing,0.0,,,,switched to competitor
C-4cdb6f,A-f25509,,pricing,0.0,,,,missing features
C-a9e0c4,A-94d3da,,competitor,0.0,,,,switched to competitor
C-0f0386,A-751c58,,budget,64.22,,,,switched to competitor
C-3c8ea9,A-7641d3,,support,35.05,,,,missing features
C-66c9fe,A-86902e,,features,0.0,,,,No feedback
C-533d1c,A-1619f8,,competitor,0.0,,,,No feedback
C-02719d,A-5247b3,,support,28.84,,,,missing features
C-16ef52,A-9b9fe9,,features,0.0,,,,switched to competitor
C-6d80a6,A-02fac6,,support,0.0,,,,missing features
C-23d5a9,A-54ecc2,,pricing,0.0,,,,too expensive
C-2e9b92,A-855a48,,unknown,7.92,,,,too expensive
C-a8e84b,A-c1dfe1,,features,0.0,,,,missing features
C-edb201,A-a7bd4b,,features,0.0,,,,too expensive
C-92e7a2,A-d535f6,,unknown,0.0,,,,missing features
C-990050,A-4f18f0,,features,0.0,,,,missing features
C-e49016,A-b7724f,,competitor,111.42,,,,switched to competitor
C-151fb1,A-fd7ad3,,support,0.0,,,,missing features
C-9b229e,A-249769,,pricing,0.0,,,,too expensive
C-d33672,A-a1b80b,,budget,12.99,,,,switched to competitor
C-f180f4,A-ac14bb,,competitor,0.0,,,,too expensive
C-d8d1fd,A-5b1bcd,,competitor,4.45,,,,No feedback
C-f918d7,A-202b67,,features,69.59,,,,No feedback
C-a77cbf,A-bad8c1,,unknown,0.0,,,,too expensive
C-f5dfda,A-2446e3,,competitor,34.87,,,,missing features
C-9b80de,A-533452,,pricing,132.32,,,,missing features
C-515343,A-b54c01,,budget,0.0,,,,too expensive
C-da7b0d,A-2ebb4b,,pricing,0.0,,,,missing features
C-efed73,A-9123ac,,competitor,0.0,,,,missing features
C-8d2855,A-8bde0c,,pricing,0.0,,,,No feedback
C-992f28,A-f44180,,competitor,38.15,,,,too expensive
C-d47c85,A-c37601,,support,0.0,,,,switched to competitor
C-ad8b54,A-a09355,,support,0.0,,,,No feedback
C-89198d,A-038089,,competitor,0.0,,,,No feedback
C-f33efc,A-8ed5dd,,support,0.0,,,,switched to competitor
C-13ca3a,A-313be3,,features,43.03,,,,too expensive
C-07f6e3,A-e888d1,,budget,0.0,,,,too expensive
C-65b589,A-7a0d69,,competitor,0.0,,,,switched to competitor
C-ea6df1,A-e51ec7,,budget,0.0,,,,switched to competitor
C-f78dc9,A-1619f8,,budget,0.0,,,,No feedback
C-9d9bff,A-f5641b,,features,0.0,,,,too expensive
C-9d8799,A-dfbd31,,features,0.0,,,,too expensive
C-2fb169,A-0532a9,,pricing,2.4,,,,too expensive
C-3bac11,A-f5641b,,pricing,0.0,,,,too expensive
C-49868d,A-309e54,,support,106.67,,,,missing features
C-27770c,A-7988d1,,competitor,16.89,,,,too expensive
C-118bea,A-65aeb5,,budget,0.0,,,,missing features
C-cf17ca,A-e08cd3,,features,0.0,,,,too expensive
C-25c0d2,A-e693b6,,budget,0.0,,,,missing features
C-05224a,A-f17767,,pricing,0.0,,,,No feedback
C-fe7ee4,A-b44e3e,,unknown,0.0,,,,switched to competitor
C-14ac13,A-68f37c,,features,0.0,,,,too expensive
C-fa1c87,A-342303,,features,0.0,,,,switched to competitor
C-29b7f7,A-8ae05d,,unknown,0.0,,,,missing features
C-22b92e,A-32fb14,,features,0.0,,,,too expensive
C-46580a,A-81edc3,,unknown,0.0,,,,missing features
C-ef9abf,A-a33200,,features,21.61,,,,too expensive
C-88a176,A-d922bf,,support,11.13,,,,too expensive
C-681c7b,A-ff3c73,,competitor,2.42,,,,missing features
C-ca1941,A-37f969,,pricing,0.0,,,,too expensive
C-7fcce6,A-4bfa33,,unknown,0.0,,,,missing features
C-5328d6,A-0b0d6d,,competitor,0.0,,,,No feedback
C-cd7797,A-a8d89d,,pricing,0.0,,,,No feedback
C-7f0644,A-ae052e,,budget,0.0,,,,too expensive
C-2d4533,A-117171,,features,102.86,,,,switched to competitor
C-d9410c,A-87aa7b,,pricing,136.0,,,,missing features
C-75fdd6,A-0f7d77,,competitor,0.0,,,,missing features
C-3018d4,A-34ea2f,,unknown,1.85,,,,too expensive
C-fcbd6e,A-1e1b80,,features,0.0,,,,switched to competitor
C-79999b,A-58b9ff,,pricing,0.0,,,,too expensive
C-62ad35,A-6965e1,,budget,0.0,,,,No feedback
C-f0bd80,A-117171,,pricing,0.0,,,,No feedback
C-f49d4c,A-65c341,,unknown,0.0,,,,switched to competitor
C-462222,A-ae052e,,support,0.0,,,,too expensive
C-f68651,A-eafc6e,,unknown,0.0,,,,No feedback
C-9c4603,A-c58f49,,support,7.6,,,,switched to competitor
C-c179a3,A-e7beab,,features,0.0,,,,missing features
C-2c9dae,A-b179bf,,features,0.0,,,,No feedback
C-2c86b1,A-afa505,,support,0.0,,,,missing features
C-1172fe,A-4a267b,,support,64.54,,,,missing features
C-4f6d90,A-6a7c9d,,features,178.84,,,,missing features
C-f51f1d,A-32fb14,,competitor,0.0,,,,too expensive
C-bd5e5e,A-bd4513,,budget,35.14,,,,too expensive
C-9fd0cf,A-eb7fac,,unknown,0.0,,,,switched to competitor
C-dcbfa4,A-4e44e8,,features,35.48,,,,too expensive
C-f1268a,A-32728c,,budget,7.58,,,,missing features
C-0b2d8c,A-1b9609,,unknown,0.0,,,,switched to competitor
C-26865a,A-854864,,support,8.47,,,,switched to competitor
C-fba952,A-118d55,,pricing,0.0,,,,too expensive
C-e4261a,A-417d2f,,budget,0.0,,,,missing features
C-ab36fc,A-f03140,,competitor,0.0,,,,missing features
C-fdb715,A-241e75,,unknown,0.0,,,,No feedback
C-fcfc3c,A-98a59a,,support,0.0,,,,switched to competitor
C-a119b0,A-9f2731,,unknown,136.94,,,,missing features
C-cdb4d0,A-c222ab,,support,0.0,,,,No feedback
C-d08588,A-e51ec7,,budget,0.0,,,,too expensive
C-1eead2,A-5790f4,,support,51.18,,,,too expensive
C-9b6151,A-2bc93d,,competitor,99.1,,,,switched to competitor
C-cfb464,A-eb2fdc,,competitor,0.0,,,,missing features
C-249af9,A-ac14bb,,pricing,128.79,,,,switched to competitor
C-193426,A-7988d1,,unknown,0.0,,,,missing features
C-6a6704,A-180abf,,support,0.0,,,,switched to competitor
C-e41103,A-180abf,,competitor,0.0,,,,No feedback
C-53546c,A-e61e98,,features,0.0,,,,switched to competitor
C-f6f8a5,A-2d1036,,pricing,39.09,,,,switched to competitor
C-551bc8,A-87aa7b,,budget,0.0,,,,No feedback
C-31a49a,A-9123ac,,support,0.0,,,,too expensive
C-ef2329,A-0f6450,,competitor,0.0,,,,No feedback
C-88877a,A-313be3,,competitor,0.0,,,,No feedback
C-28085c,A-4bfa33,,budget,92.5,,,,No feedback
C-5f203c,A-80eeb6,,budget,0.0,,,,too expensive
C-a6d0e1,A-b179bf,,features,0.0,,,,missing features
C-95a18e,A-241e75,,features,0.0,,,,switched to competitor
C-b0b16c,A-ae052e,,competitor,0.0,,,,too expensive
C-dfe189,A-05f0e5,,features,72.19,,,,No feedback
C-9fe257,A-157070,,features,0.0,,,,too expensive
C-c1bc7e,A-993085,,features,0.0,,,,No feedback
C-27e9c1,A-c16b88,,competitor,0.0,,,,switched to competitor
C-8f8593,A-05d3b3,,unknown,0.0,,,,switched to competitor
C-9775db,A-331424,,competitor,0.0,,,,switched to competitor
C-3efa9b,A-cdf020,,support,0.0,,,,too expensive
C-917c1d,A-39868b,,budget,0.0,,,,too expensive
C-2d659a,A-72799b,,pricing,0.0,,,,switched to competitor
C-5d9db3,A-39868b,,unknown,0.0,,,,No feedback
C-0c829f,A-c7ffc2,,budget,0.0,,,,too expensive
C-83b55f,A-5790f4,,features,392.92,,,,switched to competitor
C-fa6149,A-3d957b,,budget,0.0,,,,too expensive
C-76d762,A-51ec1b,,unknown,0.0,,,,too expensive
C-4b071b,A-118d55,,unknown,0.0,,,,missing features
C-b3431e,A-e3bd71,,support,0.0,,,,switched to competitor
C-9a1ccc,A-b2af2e,,pricing,0.0,,,,No feedback
